alert_id,opened_at,cloud,severity,resource_id,alert_name,ack_minutes,resolution_minutes,status
ALT-00001,2026-01-01T00:00:00,AWS,High,R-00463,Health Check Failed,28,94,Closed
ALT-00002,2026-01-01T03:00:00,Azure,Critical,R-00297,Backup Failed,12,43,Closed
ALT-00003,2026-01-01T06:00:00,AWS,Low,R-00436,Backup Failed,22,95,Closed
ALT-00004,2026-01-01T09:00:00,Azure,Critical,R-00009,Disk Full,30,240,Closed
ALT-00005,2026-01-01T12:00:00,AWS,Medium,R-00307,Health Check Failed,14,182,Closed
ALT-00006,2026-01-01T15:00:00,AWS,High,R-00273,Backup Failed,20,131,Closed
ALT-00007,2026-01-01T18:00:00,AWS,Medium,R-00017,Disk Full,13,64,Closed
ALT-00008,2026-01-01T21:00:00,Azure,High,R-00232,Disk Full,3,103,Closed
ALT-00009,2026-01-02T00:00:00,Azure,High,R-00237,Health Check Failed,15,45,Closed
ALT-00010,2026-01-02T03:00:00,Azure,High,R-00352,Backup Failed,20,131,Closed
ALT-00011,2026-01-02T06:00:00,Azure,Low,R-00249,High CPU,29,204,Closed
ALT-00012,2026-01-02T09:00:00,AWS,Critical,R-00183,Disk Full,10,42,Closed
ALT-00013,2026-01-02T12:00:00,AWS,High,R-00496,Health Check Failed,8,146,Closed
ALT-00014,2026-01-02T15:00:00,Azure,High,R-00181,Disk Full,17,58,Closed
ALT-00015,2026-01-02T18:00:00,Azure,Low,R-00194,Health Check Failed,28,233,Closed
ALT-00016,2026-01-02T21:00:00,Azure,Medium,R-00332,Disk Full,15,123,Closed
ALT-00017,2026-01-03T00:00:00,Azure,Critical,R-00148,Disk Full,16,209,Closed
ALT-00018,2026-01-03T03:00:00,AWS,Medium,R-00211,Disk Full,8,110,Closed
ALT-00019,2026-01-03T06:00:00,AWS,Medium,R-00162,Backup Failed,10,192,Closed
ALT-00020,2026-01-03T09:00:00,Azure,Medium,R-00474,Disk Full,19,40,Closed
ALT-00021,2026-01-03T12:00:00,Azure,Low,R-00392,Backup Failed,15,229,Closed
ALT-00022,2026-01-03T15:00:00,Azure,High,R-00051,Disk Full,14,113,Closed
ALT-00023,2026-01-03T18:00:00,Azure,Low,R-00392,High CPU,27,173,Closed
ALT-00024,2026-01-03T21:00:00,Azure,High,R-00171,Health Check Failed,25,23,Closed
ALT-00025,2026-01-04T00:00:00,Azure,Low,R-00444,High CPU,8,113,Closed
ALT-00026,2026-01-04T03:00:00,AWS,Low,R-00007,Disk Full,24,239,Closed
ALT-00027,2026-01-04T06:00:00,AWS,Medium,R-00399,Disk Full,21,227,Closed
ALT-00028,2026-01-04T09:00:00,AWS,Medium,R-00268,Health Check Failed,7,53,Closed
ALT-00029,2026-01-04T12:00:00,Azure,Low,R-00431,High CPU,30,140,Closed
ALT-00030,2026-01-04T15:00:00,Azure,Medium,R-00236,Disk Full,21,81,Closed
ALT-00031,2026-01-04T18:00:00,AWS,Critical,R-00307,Disk Full,17,70,Closed
ALT-00032,2026-01-04T21:00:00,Azure,High,R-00423,High CPU,11,19,Closed
ALT-00033,2026-01-05T00:00:00,Azure,Critical,R-00391,Health Check Failed,18,59,Closed
ALT-00034,2026-01-05T03:00:00,AWS,Critical,R-00360,Disk Full,5,239,Closed
ALT-00035,2026-01-05T06:00:00,AWS,High,R-00330,Health Check Failed,4,168,Closed
ALT-00036,2026-01-05T09:00:00,Azure,Medium,R-00078,High CPU,26,170,Closed
ALT-00037,2026-01-05T12:00:00,Azure,Medium,R-00186,Disk Full,21,109,Closed
ALT-00038,2026-01-05T15:00:00,Azure,High,R-00033,High CPU,7,42,Closed
ALT-00039,2026-01-05T18:00:00,AWS,High,R-00356,Disk Full,15,185,Closed
ALT-00040,2026-01-05T21:00:00,AWS,Low,R-00432,High CPU,5,110,Closed
ALT-00041,2026-01-06T00:00:00,Azure,Low,R-00286,Health Check Failed,8,37,Closed
ALT-00042,2026-01-06T03:00:00,Azure,Critical,R-00333,Disk Full,29,104,Closed
ALT-00043,2026-01-06T06:00:00,AWS,Critical,R-00371,High CPU,13,60,Closed
ALT-00044,2026-01-06T09:00:00,Azure,Low,R-00083,High CPU,29,84,Closed
