finding_id,provider,resource_type,finding,monthly_savings_usd,risk,status
FIN-0001,AWS,Disk,Delete unattached resource,40,Medium,Open
FIN-0002,Azure,Snapshot,Apply schedule,55,Low,Open
FIN-0003,AWS,Database,Purchase commitment,70,Medium,Approved
FIN-0004,Azure,VM,Rightsize,85,Low,Open
FIN-0005,AWS,Disk,Delete unattached resource,100,Medium,Open
FIN-0006,Azure,Snapshot,Apply schedule,115,Low,Approved
FIN-0007,AWS,Database,Purchase commitment,130,Medium,Open
FIN-0008,Azure,VM,Rightsize,145,Low,Open
FIN-0009,AWS,Disk,Delete unattached resource,160,Medium,Approved
FIN-0010,Azure,Snapshot,Apply schedule,175,Low,Open
FIN-0011,AWS,Database,Purchase commitment,190,Medium,Open
FIN-0012,Azure,VM,Rightsize,205,Low,Approved
FIN-0013,AWS,Disk,Delete unattached resource,220,Medium,Open
FIN-0014,Azure,Snapshot,Apply schedule,235,Low,Open
FIN-0015,AWS,Database,Purchase commitment,250,Medium,Approved
FIN-0016,Azure,VM,Rightsize,265,Low,Open
FIN-0017,AWS,Disk,Delete unattached resource,280,Medium,Open
FIN-0018,Azure,Snapshot,Apply schedule,295,Low,Approved
FIN-0019,AWS,Database,Purchase commitment,310,Medium,Open
FIN-0020,Azure,VM,Rightsize,25,Low,Open
FIN-0021,AWS,Disk,Delete unattached resource,40,Medium,Approved
FIN-0022,Azure,Snapshot,Apply schedule,55,Low,Open
FIN-0023,AWS,Database,Purchase commitment,70,Medium,Open
FIN-0024,Azure,VM,Rightsize,85,Low,Approved
FIN-0025,AWS,Disk,Delete unattached resource,100,Medium,Open
FIN-0026,Azure,Snapshot,Apply schedule,115,Low,Open
FIN-0027,AWS,Database,Purchase commitment,130,Medium,Approved
FIN-0028,Azure,VM,Rightsize,145,Low,Open
FIN-0029,AWS,Disk,Delete unattached resource,160,Medium,Open
FIN-0030,Azure,Snapshot,Apply schedule,175,Low,Approved
FIN-0031,AWS,Database,Purchase commitment,190,Medium,Open
FIN-0032,Azure,VM,Rightsize,205,Low,Open
FIN-0033,AWS,Disk,Delete unattached resource,220,Medium,Approved
FIN-0034,Azure,Snapshot,Apply schedule,235,Low,Open
FIN-0035,AWS,Database,Purchase commitment,250,Medium,Open
FIN-0036,Azure,VM,Rightsize,265,Low,Approved
FIN-0037,AWS,Disk,Delete unattached resource,280,Medium,Open
FIN-0038,Azure,Snapshot,Apply schedule,295,Low,Open
FIN-0039,AWS,Database,Purchase commitment,310,Medium,Approved
FIN-0040,Azure,VM,Rightsize,25,Low,Open
FIN-0041,AWS,Disk,Delete unattached resource,40,Medium,Open
FIN-0042,Azure,Snapshot,Apply schedule,55,Low,Approved
FIN-0043,AWS,Database,Purchase commitment,70,Medium,Open
FIN-0044,Azure,VM,Rightsize,85,Low,Open
FIN-0045,AWS,Disk,Delete unattached resource,100,Medium,Approved
FIN-0046,Azure,Snapshot,Apply schedule,115,Low,Open
FIN-0047,AWS,Database,Purchase commitment,130,Medium,Open
FIN-0048,Azure,VM,Rightsize,145,Low,Approved
FIN-0049,AWS,Disk,Delete unattached resource,160,Medium,Open
FIN-0050,Azure,Snapshot,Apply schedule,175,Low,Open
FIN-0051,AWS,Database,Purchase commitment,190,Medium,Approved
FIN-0052,Azure,VM,Rightsize,205,Low,Open
FIN-0053,AWS,Disk,Delete unattached resource,220,Medium,Open
FIN-0054,Azure,Snapshot,Apply schedule,235,Low,Approved
FIN-0055,AWS,Database,Purchase commitment,250,Medium,Open
FIN-0056,Azure,VM,Rightsize,265,Low,Open
FIN-0057,AWS,Disk,Delete unattached resource,280,Medium,Approved
FIN-0058,Azure,Snapshot,Apply schedule,295,Low,Open
FIN-0059,AWS,Database,Purchase commitment,310,Medium,Open
FIN-0060,Azure,VM,Rightsize,25,Low,Approved
FIN-0061,AWS,Disk,Delete unattached resource,40,Medium,Open
FIN-0062,Azure,Snapshot,Apply schedule,55,Low,Open
FIN-0063,AWS,Database,Purchase commitment,70,Medium,Approved
FIN-0064,Azure,VM,Rightsize,85,Low,Open
FIN-0065,AWS,Disk,Delete unattached resource,100,Medium,Open
FIN-0066,Azure,Snapshot,Apply schedule,115,Low,Approved
FIN-0067,AWS,Database,Purchase commitment,130,Medium,Open
FIN-0068,Azure,VM,Rightsize,145,Low,Open
FIN-0069,AWS,Disk,Delete unattached resource,160,Medium,Approved
FIN-0070,Azure,Snapshot,Apply schedule,175,Low,Open
FIN-0071,AWS,Database,Purchase commitment,190,Medium,Open
FIN-0072,Azure,VM,Rightsize,205,Low,Approved
FIN-0073,AWS,Disk,Delete unattached resource,220,Medium,Open
FIN-0074,Azure,Snapshot,Apply schedule,235,Low,Open
FIN-0075,AWS,Database,Purchase commitment,250,Medium,Approved
FIN-0076,Azure,VM,Rightsize,265,Low,Open
FIN-0077,AWS,Disk,Delete unattached resource,280,Medium,Open
FIN-0078,Azure,Snapshot,Apply schedule,295,Low,Approved
FIN-0079,AWS,Database,Purchase commitment,310,Medium,Open
FIN-0080,Azure,VM,Rightsize,25,Low,Open
FIN-0081,AWS,Disk,Delete unattached resource,40,Medium,Approved
FIN-0082,Azure,Snapshot,Apply schedule,55,Low,Open
FIN-0083,AWS,Database,Purchase commitment,70,Medium,Open
FIN-0084,Azure,VM,Rightsize,85,Low,Approved
FIN-0085,AWS,Disk,Delete unattached resource,100,Medium,Open
FIN-0086,Azure,Snapshot,Apply schedule,115,Low,Open
FIN-0087,AWS,Database,Purchase commitment,130,Medium,Approved
FIN-0088,Azure,VM,Rightsize,145,Low,Open
FIN-0089,AWS,Disk,Delete unattached resource,160,Medium,Open
FIN-0090,Azure,Snapshot,Apply schedule,175,Low,Approved
FIN-0091,AWS,Database,Purchase commitment,190,Medium,Open
FIN-0092,Azure,VM,Rightsize,205,Low,Open
FIN-0093,AWS,Disk,Delete unattached resource,220,Medium,Approved
FIN-0094,Azure,Snapshot,Apply schedule,235,Low,Open
