incident_id,started_at,cloud,severity,service,duration_minutes,customer_impact,root_cause,preventive_action
INC-0001,2026-01-01T00:00:00,AWS,P1,Internal Files,88,Partial outage,Dependency failure,Automate validation
INC-0002,2026-01-03T00:00:00,AWS,P2,Orders DB,205,Partial outage,Configuration error,Automate validation
INC-0003,2026-01-05T00:00:00,Azure,P2,Orders DB,228,Partial outage,Configuration error,Automate validation
INC-0004,2026-01-07T00:00:00,Azure,P2,Customer Web,139,Degraded performance,Capacity saturation,Automate validation
INC-0005,2026-01-09T00:00:00,AWS,P1,Customer Web,67,Internal users affected,Configuration error,Increase capacity
INC-0006,2026-01-11T00:00:00,AWS,P1,Customer Web,198,Partial outage,Dependency failure,Increase capacity
INC-0007,2026-01-13T00:00:00,AWS,P2,Internal Files,151,Degraded performance,Capacity saturation,Automate validation
INC-0008,2026-01-15T00:00:00,Azure,P1,Customer Web,54,Partial outage,Capacity saturation,Increase capacity
INC-0009,2026-01-17T00:00:00,Azure,P1,Monitoring,34,Degraded performance,Dependency failure,Increase capacity
INC-0010,2026-01-19T00:00:00,Azure,P2,Customer Web,190,Degraded performance,Dependency failure,Automate validation
INC-0011,2026-01-21T00:00:00,Azure,P2,Customer Web,99,Internal users affected,Capacity saturation,Add alert
INC-0012,2026-01-23T00:00:00,Azure,P1,Monitoring,234,Partial outage,Dependency failure,Add alert
INC-0013,2026-01-25T00:00:00,Azure,P1,Internal Files,142,Degraded performance,Configuration error,Increase capacity
INC-0014,2026-01-27T00:00:00,Azure,P1,Customer Web,239,Partial outage,Capacity saturation,Automate validation
INC-0015,2026-01-29T00:00:00,Azure,P1,Internal Files,50,Degraded performance,Configuration error,Add alert
INC-0016,2026-01-31T00:00:00,AWS,P2,Internal Files,213,Degraded performance,Capacity saturation,Add alert
INC-0017,2026-02-02T00:00:00,Azure,P1,Orders DB,58,Internal users affected,Dependency failure,Automate validation
INC-0018,2026-02-04T00:00:00,Azure,P1,Customer Web,157,Degraded performance,Capacity saturation,Add alert
INC-0019,2026-02-06T00:00:00,AWS,P2,Customer Web,117,Partial outage,Dependency failure,Add alert
