timestamp,cloud,source,destination,port,protocol,action,bytes
2026-01-01T00:00:00,AWS,10.19.106.218,10.13.120.35,80,UDP,REJECT,986274
2026-01-01T00:01:00,AWS,10.19.72.207,10.19.3.139,53,UDP,REJECT,61739
2026-01-01T00:02:00,AWS,10.12.63.192,10.13.127.22,22,TCP,ACCEPT,459699
2026-01-01T00:03:00,Azure,10.24.238.11,10.21.222.210,53,TCP,ACCEPT,108663
2026-01-01T00:04:00,Azure,10.3.199.139,10.13.21.165,443,UDP,ACCEPT,558337
2026-01-01T00:05:00,AWS,10.14.135.163,10.4.187.92,3389,TCP,REJECT,91988
2026-01-01T00:06:00,Azure,10.23.13.74,10.8.80.117,22,TCP,REJECT,157445
2026-01-01T00:07:00,Azure,10.12.254.170,10.14.229.94,80,TCP,REJECT,565523
2026-01-01T00:08:00,Azure,10.25.210.57,10.26.33.13,443,UDP,REJECT,463268
2026-01-01T00:09:00,Azure,10.19.129.3,10.13.95.67,80,UDP,ACCEPT,868919
2026-01-01T00:10:00,AWS,10.3.151.223,10.2.63.59,53,TCP,REJECT,818549
2026-01-01T00:11:00,Azure,10.9.109.183,10.12.40.111,22,TCP,REJECT,254068
2026-01-01T00:12:00,Azure,10.4.164.76,10.29.38.135,22,TCP,REJECT,672462
2026-01-01T00:13:00,AWS,10.17.55.44,10.9.8.155,53,UDP,ACCEPT,380503
2026-01-01T00:14:00,AWS,10.25.167.253,10.17.237.88,443,UDP,ACCEPT,808688
2026-01-01T00:15:00,Azure,10.15.250.237,10.5.218.207,80,TCP,REJECT,80879
2026-01-01T00:16:00,AWS,10.11.70.225,10.20.43.153,22,UDP,REJECT,974300
2026-01-01T00:17:00,Azure,10.29.72.237,10.18.36.115,53,TCP,REJECT,402205
2026-01-01T00:18:00,Azure,10.24.165.37,10.9.160.210,80,UDP,ACCEPT,935410
2026-01-01T00:19:00,AWS,10.12.216.21,10.4.167.221,80,TCP,ACCEPT,371563
2026-01-01T00:20:00,AWS,10.7.144.101,10.15.183.115,53,TCP,REJECT,859776
2026-01-01T00:21:00,Azure,10.4.227.105,10.3.5.180,80,UDP,REJECT,730760
2026-01-01T00:22:00,Azure,10.8.101.97,10.4.114.4,3389,UDP,ACCEPT,253127
2026-01-01T00:23:00,AWS,10.17.162.1,10.18.101.227,443,UDP,ACCEPT,676050
2026-01-01T00:24:00,Azure,10.24.4.22,10.23.58.159,53,TCP,ACCEPT,105543
2026-01-01T00:25:00,Azure,10.15.108.214,10.17.0.103,443,UDP,REJECT,963348
2026-01-01T00:26:00,AWS,10.24.6.155,10.14.106.19,80,UDP,REJECT,38871
2026-01-01T00:27:00,Azure,10.7.39.47,10.30.47.178,5432,UDP,REJECT,869804
2026-01-01T00:28:00,AWS,10.18.16.198,10.29.183.153,3389,TCP,ACCEPT,756330
2026-01-01T00:29:00,AWS,10.22.230.203,10.15.166.24,80,TCP,ACCEPT,24214
2026-01-01T00:30:00,Azure,10.6.198.77,10.7.66.104,443,TCP,ACCEPT,190787
2026-01-01T00:31:00,AWS,10.15.123.176,10.8.43.171,5432,TCP,ACCEPT,44395
2026-01-01T00:32:00,Azure,10.22.73.17,10.19.178.71,53,TCP,REJECT,740211
2026-01-01T00:33:00,Azure,10.2.48.57,10.29.46.118,443,UDP,ACCEPT,111610
2026-01-01T00:34:00,AWS,10.23.201.196,10.15.220.130,5432,TCP,ACCEPT,742365
2026-01-01T00:35:00,AWS,10.29.247.33,10.13.250.226,22,UDP,ACCEPT,159050
2026-01-01T00:36:00,Azure,10.1.19.75,10.7.166.40,443,TCP,REJECT,349479
2026-01-01T00:37:00,AWS,10.23.16.148,10.5.48.136,3389,UDP,ACCEPT,377720
