date,service,availability_pct,latency_p95_ms,error_rate_pct,slo_met
2025-01-01,payments,99.95,121,0.025,Yes
2025-01-02,portal,99.95,122,0.025,Yes
2025-01-03,identity,99.95,123,0.025,Yes
2025-01-04,payments,99.95,124,0.025,Yes
2025-01-05,portal,99.95,125,0.025,Yes
2025-01-06,identity,99.95,126,0.025,Yes
2025-01-07,payments,99.95,127,0.025,Yes
2025-01-08,portal,99.95,128,0.025,Yes
2025-01-09,identity,99.95,129,0.025,Yes
2025-01-10,payments,99.95,130,0.025,Yes
2025-01-11,portal,99.95,131,0.025,Yes
2025-01-12,identity,99.95,132,0.025,Yes
2025-01-13,payments,99.95,133,0.025,Yes
2025-01-14,portal,99.95,134,0.025,Yes
2025-01-15,identity,99.95,135,0.025,Yes
2025-01-16,payments,99.95,136,0.025,Yes
2025-01-17,portal,99.95,137,0.025,Yes
2025-01-18,identity,99.95,138,0.025,Yes
2025-01-19,payments,99.95,139,0.025,Yes
2025-01-20,portal,99.95,140,0.025,Yes
2025-01-21,identity,99.95,141,0.025,Yes
2025-01-22,payments,99.95,142,0.025,Yes
2025-01-23,portal,99.95,143,0.025,Yes
2025-01-24,identity,99.95,144,0.025,Yes
2025-01-25,payments,99.95,145,0.025,Yes
2025-01-26,portal,99.95,146,0.025,Yes
2025-01-27,identity,99.95,147,0.025,Yes
2025-01-28,payments,99.95,148,0.025,Yes
2025-01-01,portal,99.7,149,0.15,No
2025-01-02,identity,99.95,150,0.025,Yes
2025-02-03,payments,99.95,151,0.025,Yes
2025-02-04,portal,99.95,152,0.025,Yes
2025-02-05,identity,99.95,153,0.025,Yes
2025-02-06,payments,99.95,154,0.025,Yes
2025-02-07,portal,99.95,155,0.025,Yes
2025-02-08,identity,99.95,156,0.025,Yes
2025-02-09,payments,99.95,157,0.025,Yes
2025-02-10,portal,99.95,158,0.025,Yes
2025-02-11,identity,99.95,159,0.025,Yes
2025-02-12,payments,99.95,160,0.025,Yes
2025-02-13,portal,99.95,161,0.025,Yes
2025-02-14,identity,99.95,162,0.025,Yes
2025-02-15,payments,99.95,163,0.025,Yes
2025-02-16,portal,99.95,164,0.025,Yes
2025-02-17,identity,99.95,165,0.025,Yes
2025-02-18,payments,99.95,166,0.025,Yes
2025-02-19,portal,99.95,167,0.025,Yes
2025-02-20,identity,99.95,168,0.025,Yes
2025-02-21,payments,99.95,169,0.025,Yes
2025-02-22,portal,99.95,170,0.025,Yes
2025-02-23,identity,99.95,171,0.025,Yes
2025-02-24,payments,99.95,172,0.025,Yes
2025-02-25,portal,99.95,173,0.025,Yes
2025-02-26,identity,99.95,174,0.025,Yes
2025-02-27,payments,99.95,175,0.025,Yes
2025-02-28,portal,99.95,176,0.025,Yes
2025-02-01,identity,99.95,177,0.025,Yes
2025-02-02,payments,99.7,178,0.15,No
2025-02-03,portal,99.95,179,0.025,Yes
2025-02-04,identity,99.95,180,0.025,Yes
2025-03-05,payments,99.95,181,0.025,Yes
2025-03-06,portal,99.95,182,0.025,Yes
2025-03-07,identity,99.95,183,0.025,Yes
2025-03-08,payments,99.95,184,0.025,Yes
2025-03-09,portal,99.95,185,0.025,Yes
2025-03-10,identity,99.95,186,0.025,Yes
2025-03-11,payments,99.95,187,0.025,Yes
2025-03-12,portal,99.95,188,0.025,Yes
2025-03-13,identity,99.95,189,0.025,Yes
2025-03-14,payments,99.95,190,0.025,Yes
2025-03-15,portal,99.95,191,0.025,Yes
2025-03-16,identity,99.95,192,0.025,Yes
2025-03-17,payments,99.95,193,0.025,Yes
2025-03-18,portal,99.95,194,0.025,Yes
2025-03-19,identity,99.95,195,0.025,Yes
2025-03-20,payments,99.95,196,0.025,Yes
2025-03-21,portal,99.95,197,0.025,Yes
