asset_tag,type,vendor,model,serial,location,assigned_to,status,warranty_end
AST-00001,Mobile,Zebra,Pro,SN000000001,Raleigh,User-004,Repair,2027-05-17
AST-00002,Printer,HP,Pro,SN000000002,Remote,User-007,In Use,2027-05-18
AST-00003,Dock,Apple,Pro,SN000000003,Charlotte,User-010,In Use,2027-05-19
AST-00004,Laptop,HP,Standard,SN000000004,Charlotte,User-013,In Use,2027-05-20
AST-00005,Laptop,Lenovo,Enterprise,SN000000005,Raleigh,User-016,In Use,2027-05-21
AST-00006,Mobile,Zebra,Enterprise,SN000000006,Charlotte,User-019,Repair,2027-05-22
AST-00007,Mobile,Zebra,Enterprise,SN000000007,Remote,User-022,In Use,2027-05-23
AST-00008,Mobile,Dell,Enterprise,SN000000008,Charlotte,User-025,In Use,2027-05-24
AST-00009,Mobile,Zebra,Enterprise,SN000000009,Raleigh,User-028,In Use,2027-05-25
AST-00010,Printer,Zebra,Standard,SN000000010,Remote,User-031,Repair,2027-05-26
AST-00011,Monitor,Zebra,Standard,SN000000011,Charlotte,User-034,In Use,2027-05-27
AST-00012,Dock,HP,Enterprise,SN000000012,Raleigh,User-037,In Use,2027-05-28
AST-00013,Mobile,Apple,Pro,SN000000013,Charlotte,User-040,In Stock,2027-05-29
AST-00014,Laptop,Lenovo,Enterprise,SN000000014,Charlotte,User-043,In Use,2027-05-30
AST-00015,Dock,Lenovo,Pro,SN000000015,Raleigh,User-046,In Stock,2027-05-31
AST-00016,Monitor,Dell,Enterprise,SN000000016,Remote,User-049,Repair,2027-06-01
AST-00017,Monitor,Lenovo,Enterprise,SN000000017,Remote,User-052,In Use,2027-06-02
AST-00018,Mobile,Zebra,Pro,SN000000018,Charlotte,User-055,In Stock,2027-06-03
AST-00019,Laptop,Zebra,Pro,SN000000019,Raleigh,User-058,In Stock,2027-06-04
AST-00020,Dock,Dell,Standard,SN000000020,Raleigh,User-061,In Use,2027-06-05
AST-00021,Mobile,Lenovo,Standard,SN000000021,Charlotte,User-064,Repair,2027-06-06
