change_id,type,service,risk,implementation_date,result,rollback_required
CHG-0001,Normal,Printing,Low,2026-01-02,Successful,No
CHG-0002,Emergency,Identity,High,2026-01-03,Successful,Yes
CHG-0003,Normal,Endpoint,Low,2026-01-04,Successful,No
CHG-0004,Normal,Microsoft 365,Low,2026-01-05,Successful,Yes
CHG-0005,Emergency,Microsoft 365,Low,2026-01-06,Failed,No
CHG-0006,Normal,Identity,Low,2026-01-07,Successful,No
CHG-0007,Standard,Endpoint,Low,2026-01-08,Failed,No
CHG-0008,Emergency,Network,Low,2026-01-09,Successful,No
CHG-0009,Standard,Printing,Medium,2026-01-10,Failed,No
CHG-0010,Normal,Identity,High,2026-01-11,Successful,Yes
CHG-0011,Standard,Microsoft 365,Low,2026-01-12,Failed,Yes
CHG-0012,Emergency,Identity,High,2026-01-13,Successful,No
CHG-0013,Standard,Printing,Low,2026-01-14,Successful,No
CHG-0014,Emergency,Network,Low,2026-01-15,Successful,No
CHG-0015,Standard,Microsoft 365,Medium,2026-01-16,Successful,No
CHG-0016,Standard,Network,Low,2026-01-17,Successful,No
CHG-0017,Emergency,Printing,Medium,2026-01-18,Successful,No
CHG-0018,Normal,Microsoft 365,High,2026-01-19,Successful,Yes
CHG-0019,Emergency,Microsoft 365,Low,2026-01-20,Successful,No
CHG-0020,Normal,Identity,Low,2026-01-21,Successful,No
CHG-0021,Emergency,Identity,High,2026-01-22,Failed,No
CHG-0022,Standard,Network,High,2026-01-23,Successful,No
CHG-0023,Normal,Endpoint,Low,2026-01-24,Successful,No
CHG-0024,Standard,Identity,Low,2026-01-25,Successful,No
CHG-0025,Standard,Printing,Low,2026-01-26,Failed,Yes
CHG-0026,Normal,Identity,High,2026-01-27,Successful,No
CHG-0027,Normal,Identity,High,2026-01-28,Successful,No
CHG-0028,Normal,Printing,Medium,2026-01-29,Successful,No
CHG-0029,Normal,Endpoint,Medium,2026-01-30,Failed,Yes
CHG-0030,Standard,Network,Medium,2026-01-31,Failed,Yes
CHG-0031,Standard,Network,Low,2026-02-01,Failed,Yes
CHG-0032,Standard,Microsoft 365,High,2026-02-02,Successful,No
CHG-0033,Normal,Network,Medium,2026-02-03,Successful,Yes
CHG-0034,Normal,Network,High,2026-02-04,Failed,No
CHG-0035,Normal,Identity,High,2026-02-05,Failed,No
CHG-0036,Standard,Identity,Low,2026-02-06,Successful,No
CHG-0037,Normal,Network,Medium,2026-02-07,Failed,No
CHG-0038,Normal,Network,Medium,2026-02-08,Successful,Yes
CHG-0039,Standard,Endpoint,Medium,2026-02-09,Successful,No
CHG-0040,Normal,Microsoft 365,High,2026-02-10,Successful,Yes
CHG-0041,Emergency,Microsoft 365,High,2026-02-11,Successful,Yes
CHG-0042,Normal,Identity,Low,2026-02-12,Failed,No
CHG-0043,Normal,Endpoint,High,2026-02-13,Successful,No
CHG-0044,Emergency,Network,High,2026-02-14,Successful,No
CHG-0045,Standard,Printing,High,2026-02-15,Successful,No
CHG-0046,Standard,Endpoint,High,2026-02-16,Failed,Yes
CHG-0047,Emergency,Printing,Low,2026-02-17,Successful,Yes
CHG-0048,Standard,Network,Medium,2026-02-18,Successful,Yes
CHG-0049,Emergency,Microsoft 365,High,2026-02-19,Failed,No
CHG-0050,Standard,Printing,Medium,2026-02-20,Successful,No
CHG-0051,Emergency,Identity,High,2026-02-21,Failed,No
CHG-0052,Standard,Identity,Medium,2026-02-22,Successful,No
CHG-0053,Standard,Network,High,2026-02-23,Failed,No
CHG-0054,Emergency,Network,Low,2026-02-24,Successful,No
CHG-0055,Standard,Identity,Low,2026-02-25,Failed,No
CHG-0056,Emergency,Endpoint,Medium,2026-02-26,Successful,No
CHG-0057,Standard,Endpoint,High,2026-02-27,Successful,No
CHG-0058,Normal,Network,Medium,2026-02-28,Successful,No
CHG-0059,Standard,Microsoft 365,Low,2026-03-01,Failed,No
CHG-0060,Normal,Endpoint,Medium,2026-03-02,Successful,No
CHG-0061,Normal,Network,High,2026-03-03,Successful,No
CHG-0062,Standard,Microsoft 365,Low,2026-03-04,Successful,No
CHG-0063,Standard,Printing,Low,2026-03-05,Failed,No
CHG-0064,Normal,Network,Medium,2026-03-06,Failed,No
CHG-0065,Normal,Microsoft 365,Medium,2026-03-07,Successful,No
CHG-0066,Emergency,Network,Medium,2026-03-08,Successful,No
CHG-0067,Normal,Endpoint,Low,2026-03-09,Failed,Yes
CHG-0068,Emergency,Identity,Low,2026-03-10,Successful,No
CHG-0069,Emergency,Identity,Medium,2026-03-11,Failed,Yes
CHG-0070,Emergency,Network,High,2026-03-12,Successful,No
CHG-0071,Emergency,Microsoft 365,Low,2026-03-13,Successful,No
CHG-0072,Emergency,Microsoft 365,High,2026-03-14,Failed,No
CHG-0073,Emergency,Network,Medium,2026-03-15,Successful,No
