survey_id,ticket_id,score,comment_theme,response_date
CSAT-00001,INC-10001,5,Needed follow-up,2026-01-02
CSAT-00002,INC-10002,5,Fast resolution,2026-01-03
CSAT-00003,INC-10003,5,Needed follow-up,2026-01-04
CSAT-00004,INC-10004,5,Professional,2026-01-05
CSAT-00005,INC-10005,3,Needed follow-up,2026-01-06
CSAT-00006,INC-10006,5,Professional,2026-01-07
CSAT-00007,INC-10007,5,Professional,2026-01-08
CSAT-00008,INC-10008,5,Easy process,2026-01-09
CSAT-00009,INC-10009,5,Needed follow-up,2026-01-10
CSAT-00010,INC-10010,5,Professional,2026-01-11
CSAT-00011,INC-10011,4,Needed follow-up,2026-01-12
CSAT-00012,INC-10012,4,Professional,2026-01-13
CSAT-00013,INC-10013,3,Fast resolution,2026-01-14
CSAT-00014,INC-10014,4,Clear communication,2026-01-15
CSAT-00015,INC-10015,4,Clear communication,2026-01-16
CSAT-00016,INC-10016,4,Clear communication,2026-01-17
CSAT-00017,INC-10017,5,Fast resolution,2026-01-18
CSAT-00018,INC-10018,5,Easy process,2026-01-19
CSAT-00019,INC-10019,5,Fast resolution,2026-01-20
CSAT-00020,INC-10020,4,Fast resolution,2026-01-21
CSAT-00021,INC-10021,4,Professional,2026-01-22
CSAT-00022,INC-10022,3,Fast resolution,2026-01-23
CSAT-00023,INC-10023,5,Easy process,2026-01-24
CSAT-00024,INC-10024,5,Professional,2026-01-25
CSAT-00025,INC-10025,4,Easy process,2026-01-26
CSAT-00026,INC-10026,4,Fast resolution,2026-01-27
CSAT-00027,INC-10027,5,Clear communication,2026-01-28
CSAT-00028,INC-10028,4,Clear communication,2026-01-29
CSAT-00029,INC-10029,4,Fast resolution,2026-01-30
CSAT-00030,INC-10030,4,Needed follow-up,2026-01-31
CSAT-00031,INC-10031,5,Clear communication,2026-02-01
CSAT-00032,INC-10032,4,Fast resolution,2026-02-02
CSAT-00033,INC-10033,5,Professional,2026-02-03
CSAT-00034,INC-10034,3,Clear communication,2026-02-04
CSAT-00035,INC-10035,5,Clear communication,2026-02-05
CSAT-00036,INC-10036,5,Easy process,2026-02-06
CSAT-00037,INC-10037,5,Needed follow-up,2026-02-07
CSAT-00038,INC-10038,5,Easy process,2026-02-08
CSAT-00039,INC-10039,4,Needed follow-up,2026-02-09
CSAT-00040,INC-10040,5,Easy process,2026-02-10
CSAT-00041,INC-10041,4,Fast resolution,2026-02-11
CSAT-00042,INC-10042,5,Clear communication,2026-02-12
CSAT-00043,INC-10043,5,Clear communication,2026-02-13
CSAT-00044,INC-10044,3,Easy process,2026-02-14
CSAT-00045,INC-10045,5,Fast resolution,2026-02-15
CSAT-00046,INC-10046,4,Clear communication,2026-02-16
CSAT-00047,INC-10047,5,Professional,2026-02-17
CSAT-00048,INC-10048,5,Clear communication,2026-02-18
CSAT-00049,INC-10049,5,Easy process,2026-02-19
CSAT-00050,INC-10050,5,Easy process,2026-02-20
CSAT-00051,INC-10051,5,Easy process,2026-02-21
CSAT-00052,INC-10052,5,Clear communication,2026-02-22
CSAT-00053,INC-10053,5,Professional,2026-02-23
CSAT-00054,INC-10054,5,Clear communication,2026-02-24
CSAT-00055,INC-10055,3,Fast resolution,2026-02-25
CSAT-00056,INC-10056,5,Professional,2026-02-26
CSAT-00057,INC-10057,5,Fast resolution,2026-02-27
CSAT-00058,INC-10058,4,Fast resolution,2026-02-28
CSAT-00059,INC-10059,5,Professional,2026-03-01
CSAT-00060,INC-10060,4,Easy process,2026-03-02
CSAT-00061,INC-10061,5,Fast resolution,2026-03-03
CSAT-00062,INC-10062,5,Fast resolution,2026-03-04
CSAT-00063,INC-10063,4,Professional,2026-03-05
CSAT-00064,INC-10064,3,Professional,2026-03-06
CSAT-00065,INC-10065,3,Fast resolution,2026-03-07
CSAT-00066,INC-10066,3,Professional,2026-03-08
CSAT-00067,INC-10067,5,Needed follow-up,2026-03-09
CSAT-00068,INC-10068,5,Needed follow-up,2026-03-10
CSAT-00069,INC-10069,5,Needed follow-up,2026-03-11
CSAT-00070,INC-10070,5,Needed follow-up,2026-03-12
CSAT-00071,INC-10071,5,Easy process,2026-03-13
CSAT-00072,INC-10072,5,Clear communication,2026-03-14
CSAT-00073,INC-10073,3,Clear communication,2026-03-15
CSAT-00074,INC-10074,4,Professional,2026-03-16
CSAT-00075,INC-10075,5,Needed follow-up,2026-03-17
CSAT-00076,INC-10076,5,Professional,2026-03-18
CSAT-00077,INC-10077,5,Needed follow-up,2026-03-19
CSAT-00078,INC-10078,5,Needed follow-up,2026-03-20
CSAT-00079,INC-10079,5,Clear communication,2026-03-21
CSAT-00080,INC-10080,5,Needed follow-up,2026-03-22
CSAT-00081,INC-10081,4,Clear communication,2026-03-23
CSAT-00082,INC-10082,5,Needed follow-up,2026-03-24
CSAT-00083,INC-10083,5,Needed follow-up,2026-03-25
CSAT-00084,INC-10084,5,Fast resolution,2026-03-26
CSAT-00085,INC-10085,5,Clear communication,2026-03-27
CSAT-00086,INC-10086,5,Easy process,2026-03-28
CSAT-00087,INC-10087,5,Clear communication,2026-03-29
CSAT-00088,INC-10088,4,Fast resolution,2026-03-30
CSAT-00089,INC-10089,5,Needed follow-up,2026-03-31
CSAT-00090,INC-10090,5,Professional,2026-04-01
