asset_tag,hostname,user_id,model,os,department,site,encryption,compliance,last_checkin
LT-00001,NSR-LT-0001,User-008,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Remote,Encrypted,Compliant,2026-07-01T01:00
LT-00002,NSR-LT-0002,User-015,Dell Latitude 5440,Windows 11 23H2,HR,Charlotte,Not Encrypted,Compliant,2026-07-01T02:00
LT-00003,NSR-LT-0003,User-022,Dell Latitude 5440,Windows 11 24H2,Operations,Raleigh,Encrypted,Compliant,2026-07-01T03:00
LT-00004,NSR-LT-0004,User-029,Dell Latitude 5440,Windows 11 23H2,HR,Raleigh,Encrypted,Compliant,2026-07-01T04:00
LT-00005,NSR-LT-0005,User-036,HP EliteBook 840 G10,Windows 11 24H2,Marketing,Remote,Not Encrypted,Compliant,2026-07-01T05:00
LT-00006,NSR-LT-0006,User-043,Dell Latitude 5440,Windows 11 23H2,Operations,Charlotte,Encrypted,Compliant,2026-07-01T06:00
LT-00007,NSR-LT-0007,User-050,Dell Latitude 5440,Windows 11 24H2,Operations,Remote,Encrypted,Noncompliant,2026-07-01T07:00
LT-00008,NSR-LT-0008,User-057,Lenovo T14 Gen 4,Windows 11 23H2,HR,Remote,Encrypted,Compliant,2026-07-01T08:00
LT-00009,NSR-LT-0009,User-064,Dell Latitude 5440,Windows 11 24H2,Finance,Remote,Encrypted,Compliant,2026-07-01T09:00
LT-00010,NSR-LT-0010,User-071,HP EliteBook 840 G10,Windows 11 23H2,Marketing,Raleigh,Encrypted,Compliant,2026-07-01T10:00
LT-00011,NSR-LT-0011,User-078,Lenovo T14 Gen 4,Windows 11 24H2,IT,Raleigh,Not Encrypted,Compliant,2026-07-01T11:00
LT-00012,NSR-LT-0012,User-085,HP EliteBook 840 G10,Windows 11 24H2,IT,Charlotte,Encrypted,Noncompliant,2026-07-01T12:00
LT-00013,NSR-LT-0013,User-092,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Remote,Encrypted,Compliant,2026-07-01T13:00
LT-00014,NSR-LT-0014,User-099,HP EliteBook 840 G10,Windows 11 23H2,Operations,Raleigh,Encrypted,Noncompliant,2026-07-01T14:00
LT-00015,NSR-LT-0015,User-106,Lenovo T14 Gen 4,Windows 11 24H2,HR,Raleigh,Not Encrypted,Compliant,2026-07-01T15:00
LT-00016,NSR-LT-0016,User-113,Lenovo T14 Gen 4,Windows 11 24H2,Marketing,Charlotte,Encrypted,Compliant,2026-07-01T16:00
LT-00017,NSR-LT-0017,User-120,Lenovo T14 Gen 4,Windows 11 24H2,Finance,Charlotte,Encrypted,Compliant,2026-07-01T17:00
LT-00018,NSR-LT-0018,User-127,Dell Latitude 5440,Windows 11 23H2,Finance,Charlotte,Encrypted,Noncompliant,2026-07-01T18:00
