date,opened,resolved,sla_met_pct,fcr_pct,csat,backlog
2026-01-01,29,27,95.5,78.2,4.49,47
2026-01-02,61,41,94.1,79.7,4.74,19
2026-01-03,32,54,92.6,71.6,4.48,23
2026-01-04,51,44,93.8,82.5,4.73,46
2026-01-05,64,41,94.0,86.4,4.77,31
2026-01-06,36,30,97.6,80.1,4.81,24
2026-01-07,52,59,91.2,75.9,4.21,59
2026-01-08,55,54,97.1,85.4,4.88,56
2026-01-09,56,44,96.4,87.5,4.45,61
2026-01-10,50,44,91.8,70.7,4.33,70
2026-01-11,26,37,98.6,72.2,4.65,59
2026-01-12,40,52,98.4,85.2,4.58,23
2026-01-13,44,54,92.3,76.4,4.28,75
2026-01-14,34,53,99.5,77.4,4.8,55
2026-01-15,40,37,93.6,84.6,4.47,39
2026-01-16,25,31,96.5,82.3,4.89,72
2026-01-17,56,62,96.2,79.1,4.4,49
2026-01-18,50,56,95.5,82.5,4.85,75
2026-01-19,56,39,97.3,78.6,4.5,38
2026-01-20,60,29,93.4,81.0,4.82,25
2026-01-21,56,64,99.3,74.9,4.69,19
2026-01-22,35,43,97.4,77.4,4.51,50
2026-01-23,39,62,99.0,74.8,4.62,71
2026-01-24,54,33,98.8,82.5,4.47,44
2026-01-25,48,55,98.0,84.9,4.64,36
2026-01-26,30,55,92.1,72.0,4.62,24
2026-01-27,51,56,93.7,72.2,4.23,19
2026-01-28,47,41,94.1,71.2,4.78,75
2026-01-29,57,27,98.1,74.8,4.28,32
2026-01-30,32,60,93.0,73.2,4.44,40
2026-01-31,27,60,93.4,71.0,4.68,50
2026-02-01,63,31,97.2,86.5,4.51,47
2026-02-02,32,31,97.9,80.2,4.8,24
2026-02-03,60,27,95.5,71.3,4.28,31
2026-02-04,48,35,97.4,82.2,4.73,49
2026-02-05,31,34,96.7,74.7,4.3,72
2026-02-06,37,53,99.5,83.4,4.2,71
2026-02-07,55,46,93.5,71.4,4.39,63
2026-02-08,51,48,96.5,72.9,4.73,51
2026-02-09,51,39,92.2,76.6,4.84,75
2026-02-10,54,58,98.0,75.2,4.22,27
2026-02-11,25,58,99.3,69.7,4.42,67
2026-02-12,35,52,91.5,83.2,4.66,59
2026-02-13,34,61,91.5,80.6,4.7,60
2026-02-14,58,43,94.7,85.7,4.69,73
2026-02-15,44,45,99.0,68.2,4.4,51
2026-02-16,64,34,97.2,76.9,4.34,52
2026-02-17,64,64,96.7,81.9,4.82,68
2026-02-18,50,37,98.8,69.7,4.58,42
2026-02-19,33,58,99.7,73.7,4.26,53
2026-02-20,44,58,94.0,80.7,4.22,74
2026-02-21,59,62,93.3,84.6,4.41,45
2026-02-22,57,32,97.4,84.8,4.38,50
2026-02-23,47,32,91.4,81.0,4.29,37
2026-02-24,61,25,95.0,87.7,4.76,55
2026-02-25,61,65,96.9,84.9,4.36,37
2026-02-26,43,61,96.9,82.3,4.56,33
2026-02-27,31,45,95.5,71.9,4.74,47
2026-02-28,31,34,97.3,84.6,4.26,21
2026-03-01,52,33,95.2,76.9,4.46,51
2026-03-02,50,62,95.9,83.6,4.81,55
2026-03-03,56,65,94.7,76.8,4.85,49
2026-03-04,51,35,92.3,70.5,4.7,26
2026-03-05,57,58,92.0,72.3,4.53,65
2026-03-06,35,60,94.3,87.0,4.62,44
2026-03-07,32,32,94.3,73.8,4.57,25
2026-03-08,48,44,99.7,74.1,4.54,68
2026-03-09,34,34,97.9,76.4,4.86,37
2026-03-10,43,38,92.6,82.8,4.2,53
2026-03-11,47,29,98.7,76.4,4.6,54
2026-03-12,53,46,97.9,77.5,4.7,56
