user_id,display_name,department,title,manager_id,employment_status,mfa_registered,license,risk_state
User-001,Employee 001,HR,Analyst,User-001,Active,Yes,M365 E3,None
User-002,Employee 002,Finance,Coordinator,User-001,Active,Yes,M365 E3,None
User-003,Employee 003,Operations,Analyst,User-001,Active,Yes,M365 E3,None
User-004,Employee 004,Finance,Coordinator,User-001,Active,No,M365 E3,None
User-005,Employee 005,Operations,Analyst,User-001,Active,Yes,M365 F3,None
User-006,Employee 006,Sales,Specialist,User-001,Active,No,M365 F3,None
User-007,Employee 007,Finance,Manager,User-001,Active,No,M365 E3,None
User-008,Employee 008,Sales,Coordinator,User-001,Active,Yes,M365 F3,None
User-009,Employee 009,Sales,Analyst,User-001,Active,Yes,M365 F3,None
User-010,Employee 010,HR,Specialist,User-001,Active,No,M365 E3,None
User-011,Employee 011,Operations,Manager,User-001,Active,Yes,M365 F3,None
User-012,Employee 012,Marketing,Specialist,User-001,Active,Yes,M365 E3,None
User-013,Employee 013,Marketing,Associate,User-001,Active,No,M365 F3,None
User-014,Employee 014,IT,Specialist,User-001,Active,Yes,M365 F3,None
User-015,Employee 015,Sales,Analyst,User-001,Active,Yes,M365 E3,None
User-016,Employee 016,Operations,Analyst,User-001,Active,No,M365 F3,Low
User-017,Employee 017,Sales,Coordinator,User-001,Active,Yes,M365 E3,Low
User-018,Employee 018,Sales,Associate,User-001,Active,Yes,M365 E3,Low
User-019,Employee 019,HR,Associate,User-001,Active,Yes,M365 E3,None
User-020,Employee 020,IT,Associate,User-002,Active,Yes,M365 E3,Low
User-021,Employee 021,Marketing,Associate,User-002,Active,Yes,M365 E3,None
User-022,Employee 022,IT,Associate,User-002,Active,Yes,M365 F3,None
User-023,Employee 023,Finance,Analyst,User-002,Active,Yes,M365 E3,None
User-024,Employee 024,IT,Manager,User-002,Active,Yes,M365 F3,Low
User-025,Employee 025,Sales,Coordinator,User-002,Active,Yes,M365 E3,None
User-026,Employee 026,Finance,Analyst,User-002,Active,Yes,M365 E3,None
User-027,Employee 027,IT,Associate,User-002,Active,Yes,M365 F3,Low
User-028,Employee 028,Marketing,Manager,User-002,Active,Yes,M365 F3,None
User-029,Employee 029,Operations,Coordinator,User-002,Active,Yes,M365 F3,Low
User-030,Employee 030,HR,Associate,User-003,Active,Yes,M365 F3,None
User-031,Employee 031,Marketing,Specialist,User-003,Active,Yes,M365 F3,None
User-032,Employee 032,Marketing,Associate,User-003,Active,Yes,M365 E3,Low
User-033,Employee 033,Finance,Specialist,User-003,Active,No,M365 E3,None
User-034,Employee 034,IT,Associate,User-003,Active,Yes,M365 E3,None
User-035,Employee 035,Sales,Associate,User-003,Active,Yes,M365 E3,None
User-036,Employee 036,Operations,Coordinator,User-003,Active,Yes,M365 F3,None
User-037,Employee 037,Finance,Associate,User-003,Active,Yes,M365 E3,Low
User-038,Employee 038,Finance,Associate,User-003,Active,Yes,M365 E3,Low
User-039,Employee 039,Finance,Analyst,User-003,Active,No,M365 F3,Low
User-040,Employee 040,HR,Coordinator,User-004,Active,No,M365 F3,None
User-041,Employee 041,Operations,Specialist,User-004,Active,No,M365 E3,None
User-042,Employee 042,IT,Coordinator,User-004,Active,Yes,M365 F3,None
User-043,Employee 043,Finance,Associate,User-004,Active,Yes,M365 F3,None
User-044,Employee 044,Finance,Analyst,User-004,Active,Yes,M365 E3,None
User-045,Employee 045,Sales,Analyst,User-004,Active,Yes,M365 F3,Low
User-046,Employee 046,IT,Manager,User-004,Active,Yes,M365 F3,Low
User-047,Employee 047,Sales,Specialist,User-004,Active,No,M365 E3,None
User-048,Employee 048,Finance,Associate,User-004,Active,Yes,M365 E3,None
User-049,Employee 049,Marketing,Specialist,User-004,Active,Yes,M365 F3,None
User-050,Employee 050,Sales,Analyst,User-005,Active,Yes,M365 F3,Low
User-051,Employee 051,IT,Manager,User-005,Active,Yes,M365 E3,None
User-052,Employee 052,Finance,Manager,User-005,Active,Yes,M365 F3,Low
User-053,Employee 053,Marketing,Specialist,User-005,Active,No,M365 E3,None
User-054,Employee 054,Finance,Coordinator,User-005,Active,Yes,M365 F3,None
User-055,Employee 055,HR,Analyst,User-005,Active,Yes,M365 F3,None
User-056,Employee 056,HR,Associate,User-005,Active,Yes,M365 F3,None
User-057,Employee 057,Operations,Manager,User-005,Active,Yes,M365 E3,None
User-058,Employee 058,Finance,Associate,User-005,Active,No,M365 F3,None
User-059,Employee 059,Sales,Associate,User-005,Active,Yes,M365 E3,Low
User-060,Employee 060,Marketing,Analyst,User-006,Active,Yes,M365 F3,Low
User-061,Employee 061,HR,Specialist,User-006,Active,Yes,M365 E3,None
User-062,Employee 062,IT,Manager,User-006,Active,No,M365 E3,None
User-063,Employee 063,Operations,Analyst,User-006,Active,No,M365 E3,Low
User-064,Employee 064,IT,Specialist,User-006,Active,Yes,M365 E3,None
User-065,Employee 065,Sales,Coordinator,User-006,Active,Yes,M365 E3,None
User-066,Employee 066,Finance,Manager,User-006,Active,Yes,M365 F3,None
User-067,Employee 067,Marketing,Coordinator,User-006,Active,Yes,M365 F3,Low
User-068,Employee 068,Finance,Analyst,User-006,Active,No,M365 F3,Low
User-069,Employee 069,Operations,Associate,User-006,Active,No,M365 E3,Low
User-070,Employee 070,IT,Specialist,User-007,Active,No,M365 E3,None
User-071,Employee 071,Sales,Coordinator,User-007,Active,Yes,M365 E3,Low
User-072,Employee 072,Finance,Associate,User-007,Active,Yes,M365 F3,None
User-073,Employee 073,HR,Manager,User-007,Active,No,M365 E3,None
User-074,Employee 074,Operations,Manager,User-007,Active,Yes,M365 F3,None
User-075,Employee 075,HR,Associate,User-007,Active,Yes,M365 E3,Low
User-076,Employee 076,HR,Associate,User-007,Active,Yes,M365 E3,None
User-077,Employee 077,Operations,Associate,User-007,Active,Yes,M365 F3,Low
User-078,Employee 078,Marketing,Analyst,User-007,Active,Yes,M365 E3,None
User-079,Employee 079,Marketing,Manager,User-007,Active,Yes,M365 F3,Low
User-080,Employee 080,HR,Specialist,User-008,Active,Yes,M365 E3,None
User-081,Employee 081,Sales,Manager,User-008,Active,No,M365 F3,None
User-082,Employee 082,IT,Coordinator,User-008,Active,Yes,M365 F3,Low
User-083,Employee 083,IT,Manager,User-008,Active,Yes,M365 E3,None
User-084,Employee 084,Sales,Coordinator,User-008,Active,Yes,M365 E3,None
User-085,Employee 085,HR,Analyst,User-008,Active,Yes,M365 E3,None
User-086,Employee 086,Operations,Manager,User-008,Active,No,M365 E3,Low
User-087,Employee 087,Finance,Coordinator,User-008,Active,Yes,M365 F3,Low
User-088,Employee 088,HR,Coordinator,User-008,Active,No,M365 F3,None
User-089,Employee 089,Sales,Associate,User-008,Active,Yes,M365 F3,None
User-090,Employee 090,HR,Analyst,User-009,Active,Yes,M365 E3,None
User-091,Employee 091,Marketing,Coordinator,User-009,Active,Yes,M365 F3,Low
User-092,Employee 092,HR,Specialist,User-009,Active,Yes,M365 E3,None
User-093,Employee 093,Sales,Coordinator,User-009,Active,Yes,M365 E3,None
User-094,Employee 094,IT,Associate,User-009,Active,Yes,M365 F3,None
