asset_id,asset_type,manufacturer,model,serial_number,assigned_user_id,location,operating_system,encryption_status,intune_compliance,purchase_date,warranty_end,lifecycle_status
AST-00001,Desktop,Apple,Latitude 5450,NS202400001,U0185,Remote-US,Windows 11 23H2,Encrypted,Compliant,2024-11-23,2028-01-07,In Service
AST-00002,Printer,Apple,ThinkPad T14,NS202400002,,Charlotte-NC,Embedded,Not Applicable,Not Managed,2023-11-13,2028-09-15,Spare
AST-00003,Mobile,Microsoft,MacBook Air M3,NS202400003,U0174,Remote-US,Android 15,Encrypted,Compliant,2025-03-07,2027-01-27,Repair
AST-00004,Laptop,Microsoft,ThinkPad T14,NS202400004,U0206,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2024-10-18,2027-05-08,In Service
AST-00005,Laptop,Dell,ThinkPad T14,NS202400005,U0073,Richmond-VA,Windows 11 23H2,Encrypted,Noncompliant,2024-06-09,2026-05-31,Spare
AST-00006,Laptop,HP,Latitude 5450,NS202400006,U0227,Remote-US,Windows 11 23H2,Encrypted,Compliant,2024-02-10,2027-05-30,In Service
AST-00007,Laptop,Dell,EliteBook 840,NS202400007,U0058,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2025-03-21,2026-05-30,In Service
AST-00008,Laptop,Apple,MacBook Air M3,NS202400008,U0195,Raleigh-NC,Windows 11 24H2,Encrypted,Compliant,2023-01-20,2026-09-20,In Service
AST-00009,Desktop,HP,ThinkPad T14,NS202400009,U0029,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2023-02-18,2026-09-02,Spare
AST-00010,Laptop,Dell,MacBook Air M3,NS202400010,U0017,Raleigh-NC,macOS 15,Encrypted,Compliant,2025-01-05,2026-05-28,In Service
AST-00011,Laptop,Microsoft,MacBook Air M3,NS202400011,U0062,Charlotte-NC,macOS 15,Encrypted,Compliant,2024-06-20,2028-09-25,In Service
AST-00012,Laptop,Apple,Latitude 5450,NS202400012,U0100,Remote-US,macOS 15,Encrypted,Compliant,2023-09-17,2028-02-05,In Service
AST-00013,Laptop,Dell,Surface Laptop 6,NS202400013,U0062,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2023-02-15,2026-12-27,Repair
AST-00014,Laptop,Apple,MacBook Air M3,NS202400014,U0213,Charlotte-NC,macOS 15,Encrypted,Compliant,2023-03-06,2028-01-04,Spare
AST-00015,Laptop,Lenovo,Latitude 5450,NS202400015,U0203,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2024-06-11,2027-02-12,Repair
AST-00016,Laptop,HP,Latitude 5450,NS202400016,U0074,Richmond-VA,Windows 11 23H2,Encrypted,Compliant,2023-05-08,2028-03-29,In Service
AST-00017,Laptop,Apple,EliteBook 840,NS202400017,U0230,Charlotte-NC,Windows 11 24H2,Encrypted,Noncompliant,2024-12-09,2027-05-25,In Service
AST-00018,Mobile,Dell,MacBook Air M3,NS202400018,U0206,Raleigh-NC,Android 15,Encrypted,Noncompliant,2024-09-08,2028-04-22,In Service
AST-00019,Laptop,HP,EliteBook 840,NS202400019,U0021,Richmond-VA,Windows 11 24H2,Encrypted,Noncompliant,2024-09-09,2028-01-05,Spare
AST-00020,Laptop,Dell,EliteBook 840,NS202400020,U0115,Remote-US,Windows 11 24H2,Encrypted,Compliant,2024-10-16,2028-03-21,In Service
AST-00021,Laptop,Microsoft,ThinkPad T14,NS202400021,U0094,Raleigh-NC,macOS 15,Encrypted,Compliant,2025-05-19,2027-09-15,Spare
AST-00022,Laptop,HP,EliteBook 840,NS202400022,U0200,Remote-US,Windows 11 23H2,Encrypted,Compliant,2024-09-11,2026-06-07,Spare
AST-00023,Mobile,Dell,Surface Laptop 6,NS202400023,U0196,Charlotte-NC,Android 15,Encrypted,Compliant,2024-02-12,2026-11-18,In Service
AST-00024,Laptop,Lenovo,MacBook Air M3,NS202400024,U0189,Remote-US,Windows 11 23H2,Encrypted,Compliant,2023-09-26,2028-03-04,In Service
AST-00025,Desktop,Apple,ThinkPad T14,NS202400025,U0178,Raleigh-NC,Windows 11 23H2,Encrypted,Compliant,2025-05-23,2026-03-17,Spare
AST-00026,Laptop,HP,EliteBook 840,NS202400026,U0023,Raleigh-NC,macOS 15,Encrypted,Compliant,2023-11-04,2028-05-21,In Service
