timestamp,server_id,cpu_percent,memory_percent,disk_percent,availability_percent,active_alert
2026-07-01T00:00,SRV-044,36.1,47.6,58.1,99.9,None
2026-07-01T01:00,SRV-026,62.0,52.0,97.3,99.9,Disk Capacity
2026-07-01T02:00,SRV-039,53.2,30.5,78.2,99.9,None
2026-07-01T03:00,SRV-030,55.0,37.0,66.0,99.9,None
2026-07-01T04:00,SRV-047,13.5,44.6,77.2,99.9,None
2026-07-01T05:00,SRV-035,53.0,70.2,69.7,0,None
2026-07-01T06:00,SRV-039,54.9,76.6,76.5,99.9,None
2026-07-01T07:00,SRV-011,7.5,81.1,85.0,99.9,None
2026-07-01T08:00,SRV-026,54.8,70.8,60.1,99.9,None
2026-07-01T09:00,SRV-004,51.0,76.7,69.7,99.9,None
2026-07-01T10:00,SRV-054,41.6,76.2,68.1,99.9,None
2026-07-01T11:00,SRV-037,41.4,29.3,59.6,99.9,None
2026-07-01T12:00,SRV-022,15.5,60.4,59.5,99.9,None
2026-07-01T13:00,SRV-031,38.6,55.8,91.5,99.9,Disk Capacity
2026-07-01T14:00,SRV-036,12.1,93.3,68.6,99.9,None
2026-07-01T15:00,SRV-051,52.2,56.4,69.4,0,None
2026-07-01T16:00,SRV-003,29.7,36.4,68.7,99.9,None
2026-07-01T17:00,SRV-056,23.7,60.5,56.9,99.9,None
2026-07-01T18:00,SRV-059,58.6,55.2,63.9,99.9,None
2026-07-01T19:00,SRV-013,64.2,77.0,38.4,99.9,None
2026-07-01T20:00,SRV-058,61.1,57.1,55.1,99.9,None
2026-07-01T21:00,SRV-047,33.0,76.6,58.8,99.9,None
2026-07-01T22:00,SRV-011,19.8,69.0,73.7,99.9,None
2026-07-01T23:00,SRV-028,43.9,42.1,81.2,99.9,None
2026-07-02T00:00,SRV-018,55.4,51.8,74.3,99.9,None
2026-07-02T01:00,SRV-003,40.1,48.6,74.0,99.9,None
2026-07-02T02:00,SRV-028,3.4,45.6,72.8,99.9,None
2026-07-02T03:00,SRV-003,26.2,39.0,82.7,99.9,None
2026-07-02T04:00,SRV-021,62.9,47.0,55.4,99.9,None
2026-07-02T05:00,SRV-028,50.0,59.1,60.4,99.9,None
2026-07-02T06:00,SRV-008,29.5,49.5,71.7,99.9,None
2026-07-02T07:00,SRV-029,67.0,61.1,59.1,99.9,None
2026-07-02T08:00,SRV-058,24.8,70.0,63.8,99.9,None
2026-07-02T09:00,SRV-039,27.3,49.5,70.8,99.9,None
2026-07-02T10:00,SRV-053,43.5,68.6,90.6,99.9,Disk Capacity
2026-07-02T11:00,SRV-019,43.3,51.1,77.6,99.9,None
