patch_cycle,server_id,kb_or_advisory,severity,deployment_ring,result,installed_at,reboot_required,exception_id
2026-01,SRV-001,KB5072422,Critical,Ring-1,Installed,2026-01-11T22:00,No,
2026-01,SRV-002,KB5064384,Critical,Ring-0,Installed,2026-01-11T22:00,Yes,
2026-01,SRV-003,KB5019715,Moderate,Ring-2,Pending Reboot,2026-01-10T22:00,Yes,
2026-01,SRV-004,KB5020769,Critical,Ring-2,Installed,2026-01-18T22:00,Yes,
2026-01,SRV-005,KB5037351,Moderate,Ring-0,Installed,2026-01-17T22:00,Yes,
2026-01,SRV-006,KB5024355,Critical,Ring-1,Installed,2026-01-17T22:00,Yes,
2026-01,SRV-007,KB5055801,Moderate,Ring-2,Pending Reboot,2026-01-11T22:00,Yes,
2026-01,SRV-008,KB5017030,Important,Ring-2,Installed,2026-01-17T22:00,No,
2026-01,SRV-009,KB5054527,Critical,Ring-2,Installed,2026-01-19T22:00,No,
2026-01,SRV-010,KB5083967,Critical,Ring-1,Installed,2026-01-21T22:00,Yes,
2026-01,SRV-011,KB5076300,Critical,Ring-1,Installed,2026-01-16T22:00,Yes,
2026-01,SRV-012,KB5009758,Moderate,Ring-1,Installed,2026-01-16T22:00,No,
2026-01,SRV-013,KB5028744,Important,Ring-1,Installed,2026-01-16T22:00,No,
2026-01,SRV-014,KB5032321,Important,Ring-0,Installed,2026-01-21T22:00,No,
2026-01,SRV-015,KB5011222,Moderate,Ring-2,Installed,2026-01-14T22:00,Yes,
2026-01,SRV-016,KB5059360,Important,Ring-2,Installed,2026-01-21T22:00,Yes,
2026-01,SRV-017,KB5073774,Critical,Ring-0,Installed,2026-01-21T22:00,No,
2026-01,SRV-018,KB5066204,Critical,Ring-1,Failed,2026-01-16T22:00,Yes,EXC-1018
2026-01,SRV-019,KB5067247,Moderate,Ring-1,Pending Reboot,2026-01-13T22:00,Yes,
2026-01,SRV-020,KB5074130,Critical,Ring-1,Installed,2026-01-13T22:00,No,
2026-01,SRV-021,KB5049457,Critical,Ring-0,Installed,2026-01-14T22:00,Yes,
2026-01,SRV-022,KB5000569,Critical,Ring-0,Installed,2026-01-15T22:00,No,
2026-01,SRV-023,KB5083942,Critical,Ring-2,Installed,2026-01-12T22:00,Yes,
2026-01,SRV-024,KB5067768,Critical,Ring-1,Installed,2026-01-19T22:00,Yes,
2026-01,SRV-025,KB5072796,Moderate,Ring-1,Failed,2026-01-11T22:00,No,EXC-1025
2026-01,SRV-026,KB5094802,Critical,Ring-1,Installed,2026-01-13T22:00,Yes,
2026-01,SRV-027,KB5021213,Moderate,Ring-2,Installed,2026-01-14T22:00,Yes,
2026-01,SRV-028,KB5066575,Moderate,Ring-0,Installed,2026-01-10T22:00,Yes,
2026-01,SRV-029,KB5011800,Moderate,Ring-0,Installed,2026-01-12T22:00,Yes,
2026-01,SRV-030,KB5071948,Critical,Ring-1,Installed,2026-01-18T22:00,No,
2026-01,SRV-031,KB5015744,Critical,Ring-2,Installed,2026-01-18T22:00,Yes,
2026-01,SRV-032,KB5080572,Moderate,Ring-2,Installed,2026-01-17T22:00,No,
2026-01,SRV-033,KB5065015,Moderate,Ring-1,Installed,2026-01-21T22:00,Yes,
2026-01,SRV-034,KB5027082,Moderate,Ring-1,Installed,2026-01-11T22:00,Yes,
2026-01,SRV-035,KB5004230,Critical,Ring-2,Installed,2026-01-20T22:00,Yes,
2026-01,SRV-036,KB5038132,Critical,Ring-1,Installed,2026-01-15T22:00,No,
2026-01,SRV-037,KB5052892,Important,Ring-0,Installed,2026-01-17T22:00,Yes,
2026-01,SRV-038,KB5039489,Moderate,Ring-2,Installed,2026-01-16T22:00,Yes,
2026-01,SRV-039,KB5009337,Critical,Ring-1,Installed,2026-01-20T22:00,No,
2026-01,SRV-040,KB5098070,Critical,Ring-2,Installed,2026-01-22T22:00,Yes,
2026-01,SRV-041,KB5044221,Important,Ring-1,Installed,2026-01-17T22:00,Yes,
2026-01,SRV-042,KB5037204,Critical,Ring-0,Installed,2026-01-10T22:00,No,
2026-01,SRV-043,KB5003759,Moderate,Ring-0,Installed,2026-01-16T22:00,No,
2026-01,SRV-044,KB5053480,Moderate,Ring-2,Installed,2026-01-11T22:00,No,
2026-01,SRV-045,KB5010392,Important,Ring-2,Installed,2026-01-16T22:00,Yes,
2026-01,SRV-046,KB5021564,Important,Ring-1,Installed,2026-01-14T22:00,No,
2026-01,SRV-047,KB5060689,Moderate,Ring-2,Installed,2026-01-19T22:00,Yes,
2026-01,SRV-048,KB5027908,Critical,Ring-2,Installed,2026-01-22T22:00,No,
2026-01,SRV-049,KB5050733,Moderate,Ring-1,Installed,2026-01-17T22:00,Yes,
2026-01,SRV-050,KB5047440,Important,Ring-2,Installed,2026-01-16T22:00,No,
2026-01,SRV-051,KB5024974,Important,Ring-2,Installed,2026-01-22T22:00,No,
2026-01,SRV-052,KB5048853,Critical,Ring-1,Installed,2026-01-13T22:00,No,
2026-01,SRV-053,KB5082529,Important,Ring-0,Installed,2026-01-19T22:00,No,
2026-01,SRV-054,KB5077120,Important,Ring-0,Failed,2026-01-16T22:00,No,EXC-1054
2026-01,SRV-055,KB5095143,Moderate,Ring-0,Installed,2026-01-11T22:00,Yes,
2026-01,SRV-056,KB5067833,Moderate,Ring-2,Installed,2026-01-10T22:00,Yes,
2026-01,SRV-057,KB5002575,Critical,Ring-2,Installed,2026-01-16T22:00,No,
2026-01,SRV-058,KB5069001,Important,Ring-1,Failed,2026-01-14T22:00,Yes,EXC-1058
2026-01,SRV-059,KB5097403,Important,Ring-1,Installed,2026-01-11T22:00,No,
2026-01,SRV-060,KB5059006,Moderate,Ring-0,Installed,2026-01-10T22:00,No,
2026-02,SRV-001,KB5097309,Moderate,Ring-1,Installed,2026-02-13T22:00,No,
2026-02,SRV-002,KB5090157,Important,Ring-0,Installed,2026-02-14T22:00,Yes,
2026-02,SRV-003,KB5089981,Critical,Ring-2,Failed,2026-02-11T22:00,No,EXC-2003
2026-02,SRV-004,KB5093451,Important,Ring-2,Installed,2026-02-15T22:00,No,
2026-02,SRV-005,KB5078193,Critical,Ring-0,Installed,2026-02-10T22:00,Yes,
2026-02,SRV-006,KB5050772,Moderate,Ring-1,Installed,2026-02-17T22:00,Yes,
2026-02,SRV-007,KB5050015,Moderate,Ring-2,Installed,2026-02-13T22:00,No,
2026-02,SRV-008,KB5069059,Critical,Ring-2,Installed,2026-02-17T22:00,No,
2026-02,SRV-009,KB5048534,Critical,Ring-2,Installed,2026-02-22T22:00,Yes,
2026-02,SRV-010,KB5052289,Important,Ring-1,Installed,2026-02-17T22:00,Yes,
2026-02,SRV-011,KB5063781,Moderate,Ring-1,Installed,2026-02-15T22:00,No,
2026-02,SRV-012,KB5084378,Critical,Ring-1,Installed,2026-02-21T22:00,Yes,
2026-02,SRV-013,KB5035561,Moderate,Ring-1,Failed,2026-02-16T22:00,Yes,EXC-2013
2026-02,SRV-014,KB5077247,Important,Ring-0,Installed,2026-02-17T22:00,Yes,
2026-02,SRV-015,KB5076365,Critical,Ring-2,Installed,2026-02-22T22:00,Yes,
2026-02,SRV-016,KB5040073,Important,Ring-2,Installed,2026-02-14T22:00,No,
2026-02,SRV-017,KB5070528,Moderate,Ring-0,Installed,2026-02-19T22:00,No,
2026-02,SRV-018,KB5039077,Critical,Ring-1,Installed,2026-02-18T22:00,No,
2026-02,SRV-019,KB5049423,Moderate,Ring-1,Installed,2026-02-17T22:00,Yes,
