ticket_id,opened_at,resolved_at,requester_id,assigned_group,category,subcategory,priority,channel,resolution_hours,sla_target_hours,sla_met,reopened,csat_score,first_contact_resolution
INC-30001,2026-02-01T12:00,2026-02-02T16:16,U0033,Security Operations,Server,Service Down,P4,Phone,28.28,72,Yes,No,5,No
INC-30002,2026-05-31T01:00,2026-05-31T05:36,U0065,Service Desk,Network,DHCP,P2,Monitoring,4.62,8,Yes,No,5,Yes
INC-30003,2026-03-07T02:00,2026-03-07T07:19,U0223,Infrastructure,Endpoint,Slow Device,P3,Email,5.33,24,Yes,No,4,Yes
INC-30004,2026-06-05T07:00,2026-06-05T15:24,U0227,Service Desk,Identity and Access,Account Lockout,P4,Email,8.4,72,Yes,No,3,Yes
INC-30005,2026-07-04T07:00,2026-07-05T05:20,U0040,Cloud Operations,Printing,Queue,P3,Monitoring,22.34,24,Yes,No,3,Yes
INC-30006,2026-01-24T02:00,2026-01-24T05:52,U0026,Service Desk,Identity and Access,Access Request,P4,Monitoring,3.88,72,Yes,No,5,Yes
INC-30007,2026-01-18T02:00,2026-01-18T09:17,U0093,Security Operations,Server,Patch Failure,P3,Portal,7.29,24,Yes,No,4,Yes
INC-30008,2026-01-25T08:00,2026-01-25T11:48,U0026,Infrastructure,Cloud,Storage,P2,Email,3.82,8,Yes,No,5,Yes
INC-30009,2026-03-03T09:00,2026-03-04T03:20,U0173,Security Operations,Printing,Driver,P4,Monitoring,18.34,72,Yes,No,4,No
INC-30010,2026-07-08T01:00,2026-07-08T13:36,U0154,Security Operations,Printing,Queue,P3,Phone,12.61,24,Yes,No,4,No
INC-30011,2026-05-22T01:00,2026-05-22T07:03,U0140,Infrastructure,Printing,Queue,P4,Phone,6.05,72,Yes,No,5,Yes
INC-30012,2026-05-16T20:00,2026-05-17T01:40,U0057,Infrastructure,Identity and Access,Account Lockout,P4,Portal,5.67,72,Yes,No,5,No
INC-30013,2026-07-09T07:00,2026-07-09T14:41,U0068,Cloud Operations,Endpoint,Software Install,P2,Email,7.69,8,Yes,No,4,Yes
INC-30014,2026-05-17T19:00,2026-05-19T03:45,U0045,Security Operations,Network,VPN,P4,Phone,32.76,72,Yes,No,5,Yes
INC-30015,2026-01-20T10:00,2026-01-21T02:26,U0223,Service Desk,Server,Service Down,P3,Portal,16.43,24,Yes,No,5,Yes
INC-30016,2026-04-15T08:00,2026-04-15T17:14,U0179,Infrastructure,Identity and Access,MFA,P3,Portal,9.24,24,Yes,No,5,No
INC-30017,2026-07-16T16:00,2026-07-16T21:13,U0034,Cloud Operations,Microsoft 365,Outlook,P3,Monitoring,5.22,24,Yes,No,3,Yes
INC-30018,2026-03-31T22:00,2026-04-01T04:10,U0196,Infrastructure,Microsoft 365,Shared Mailbox,P3,Email,6.18,24,Yes,No,5,Yes
INC-30019,2026-07-11T21:00,2026-07-12T01:49,U0176,Service Desk,Network,VPN,P3,Monitoring,4.82,24,Yes,No,4,Yes
INC-30020,2026-04-28T22:00,2026-04-29T02:14,U0211,Security Operations,Identity and Access,MFA,P4,Monitoring,4.24,72,Yes,No,4,Yes
INC-30021,2026-05-08T22:00,2026-05-09T11:37,U0014,Infrastructure,Endpoint,Software Install,P4,Phone,13.62,72,Yes,Yes,5,No
INC-30022,2026-04-15T11:00,2026-04-15T14:33,U0055,Infrastructure,Security,Conditional Access,P3,Phone,3.55,24,Yes,No,5,No
INC-30023,2026-02-18T13:00,2026-02-19T13:37,U0066,Infrastructure,Identity and Access,Password Reset,P3,Phone,24.63,24,No,No,5,Yes
INC-30024,2026-01-19T10:00,2026-01-19T12:54,U0070,Cloud Operations,Security,Phishing,P4,Portal,2.9,72,Yes,No,5,Yes
INC-30025,2026-05-11T06:00,2026-05-11T13:46,U0023,Infrastructure,Microsoft 365,Teams,P4,Monitoring,7.78,72,Yes,No,5,Yes
INC-30026,2026-03-26T18:00,2026-03-27T00:56,U0089,Cloud Operations,Cloud,IAM,P3,Phone,6.94,24,Yes,No,5,Yes
INC-30027,2026-01-22T11:00,2026-01-22T16:51,U0230,Security Operations,Cloud,Azure VM,P4,Portal,5.85,72,Yes,No,5,No
INC-30028,2026-03-19T23:00,2026-03-20T16:55,U0139,Infrastructure,Printing,Printer Offline,P3,Email,17.92,24,Yes,No,5,No
INC-30029,2026-02-17T11:00,2026-02-17T14:02,U0198,Infrastructure,Cloud,Azure VM,P4,Phone,3.04,72,Yes,No,5,No
INC-30030,2026-02-10T17:00,2026-02-10T23:46,U0114,Cloud Operations,Endpoint,Software Install,P3,Email,6.77,24,Yes,No,4,Yes
INC-30031,2026-04-02T10:00,2026-04-02T17:16,U0048,Security Operations,Network,DHCP,P3,Monitoring,7.28,24,Yes,No,4,Yes
INC-30032,2026-05-20T19:00,2026-05-21T12:12,U0172,Infrastructure,Identity and Access,MFA,P4,Portal,17.2,72,Yes,No,5,No
INC-30033,2026-06-17T13:00,2026-06-18T08:30,U0199,Service Desk,Server,Backup,P4,Phone,19.51,72,Yes,No,5,Yes
INC-30034,2026-07-03T08:00,2026-07-03T13:41,U0011,Infrastructure,Identity and Access,Access Request,P3,Portal,5.7,24,Yes,No,5,No
INC-30035,2026-01-18T03:00,2026-01-18T09:45,U0212,Cloud Operations,Network,DHCP,P3,Email,6.76,24,Yes,No,5,No
INC-30036,2026-06-26T19:00,2026-06-27T05:02,U0129,Service Desk,Endpoint,Software Install,P3,Email,10.04,24,Yes,No,4,Yes
INC-30037,2026-03-03T09:00,2026-03-03T20:30,U0117,Service Desk,Security,Malware Alert,P3,Phone,11.51,24,Yes,No,5,No
INC-30038,2026-02-12T12:00,2026-02-12T19:22,U0135,Security Operations,Microsoft 365,Teams,P2,Monitoring,7.37,8,Yes,No,3,No
INC-30039,2026-04-25T17:00,2026-04-25T20:32,U0187,Security Operations,Endpoint,BitLocker,P3,Email,3.55,24,Yes,No,4,No
INC-30040,2026-01-02T12:00,2026-01-02T20:06,U0207,Service Desk,Cloud,Storage,P1,Email,8.12,4,No,No,5,Yes
INC-30041,2026-05-21T07:00,2026-05-21T16:41,U0141,Cloud Operations,Security,Conditional Access,P2,Email,9.68,8,No,No,4,Yes
INC-30042,2026-04-30T11:00,2026-04-30T20:57,U0023,Service Desk,Identity and Access,Password Reset,P2,Monitoring,9.96,8,No,No,4,Yes
INC-30043,2026-07-15T16:00,2026-07-16T05:28,U0010,Service Desk,Endpoint,BitLocker,P4,Phone,13.48,72,Yes,No,5,No
INC-30044,2026-05-27T04:00,2026-05-27T05:45,U0071,Cloud Operations,Microsoft 365,Shared Mailbox,P3,Email,1.75,24,Yes,No,5,Yes
INC-30045,2026-07-15T08:00,2026-07-15T18:01,U0135,Cloud Operations,Microsoft 365,Teams,P3,Monitoring,10.02,24,Yes,No,5,Yes
INC-30046,2026-03-03T17:00,2026-03-03T23:55,U0144,Infrastructure,Network,VPN,P4,Email,6.92,72,Yes,No,4,No
INC-30047,2026-04-16T09:00,2026-04-16T20:44,U0186,Service Desk,Cloud,Azure VM,P3,Email,11.74,24,Yes,No,4,No
INC-30048,2026-06-13T20:00,2026-06-14T07:43,U0161,Security Operations,Security,Conditional Access,P4,Phone,11.72,72,Yes,No,5,No
INC-30049,2026-01-20T10:00,2026-01-20T23:40,U0005,Infrastructure,Cloud,IAM,P3,Phone,13.67,24,Yes,No,4,Yes
INC-30050,2026-01-11T23:00,2026-01-12T21:56,U0147,Security Operations,Server,Service Down,P4,Portal,22.94,72,Yes,No,4,Yes
INC-30051,2026-04-18T16:00,2026-04-18T19:05,U0078,Infrastructure,Identity and Access,Account Lockout,P3,Email,3.1,24,Yes,No,3,No
INC-30052,2026-02-01T22:00,2026-02-02T02:09,U0124,Cloud Operations,Security,Malware Alert,P3,Email,4.16,24,Yes,No,3,No
INC-30053,2026-06-26T12:00,2026-06-26T15:05,U0222,Service Desk,Endpoint,Slow Device,P3,Phone,3.08,24,Yes,No,5,No
INC-30054,2026-01-31T01:00,2026-01-31T03:24,U0169,Cloud Operations,Server,Disk Capacity,P3,Phone,2.42,24,Yes,No,4,Yes
INC-30055,2026-03-08T01:00,2026-03-08T06:23,U0031,Cloud Operations,Cloud,Azure VM,P3,Email,5.39,24,Yes,No,3,No
INC-30056,2026-07-11T08:00,2026-07-11T14:09,U0037,Cloud Operations,Microsoft 365,Teams,P3,Email,6.16,24,Yes,No,5,No
INC-30057,2026-07-04T20:00,2026-07-04T23:11,U0023,Security Operations,Security,Malware Alert,P2,Email,3.2,8,Yes,No,5,Yes
INC-30058,2026-06-02T12:00,2026-06-03T21:52,U0172,Service Desk,Server,Backup,P3,Email,33.87,24,No,No,5,Yes
INC-30059,2026-06-05T20:00,2026-06-06T09:32,U0060,Infrastructure,Cloud,Azure VM,P4,Phone,13.54,72,Yes,No,5,Yes
INC-30060,2026-04-24T02:00,2026-04-24T04:34,U0090,Security Operations,Server,Backup,P3,Email,2.58,24,Yes,No,4,Yes
INC-30061,2026-02-13T19:00,2026-02-14T06:07,U0143,Service Desk,Microsoft 365,OneDrive,P3,Monitoring,11.12,24,Yes,No,5,Yes
INC-30062,2026-03-25T12:00,2026-03-25T18:30,U0209,Security Operations,Endpoint,Windows Update,P4,Phone,6.51,72,Yes,No,4,Yes
INC-30063,2026-01-27T22:00,2026-01-28T07:48,U0025,Security Operations,Security,Phishing,P2,Phone,9.81,8,No,No,3,Yes
INC-30064,2026-05-10T16:00,2026-05-11T02:14,U0210,Infrastructure,Server,Disk Capacity,P3,Email,10.24,24,Yes,No,5,Yes
INC-30065,2026-05-14T10:00,2026-05-14T21:29,U0146,Cloud Operations,Security,Malware Alert,P3,Phone,11.49,24,Yes,No,5,Yes
INC-30066,2026-06-24T13:00,2026-06-24T19:35,U0161,Cloud Operations,Printing,Driver,P4,Monitoring,6.59,72,Yes,No,5,Yes
INC-30067,2026-03-01T12:00,2026-03-02T00:52,U0093,Security Operations,Security,Phishing,P2,Phone,12.87,8,No,No,5,Yes
INC-30068,2026-01-05T07:00,2026-01-05T11:44,U0207,Security Operations,Microsoft 365,Shared Mailbox,P3,Monitoring,4.74,24,Yes,No,5,Yes
INC-30069,2026-07-08T18:00,2026-07-08T22:25,U0002,Security Operations,Security,Conditional Access,P3,Email,4.42,24,Yes,No,4,Yes
INC-30070,2026-07-06T18:00,2026-07-06T20:35,U0095,Service Desk,Server,Backup,P2,Portal,2.58,8,Yes,No,5,Yes
INC-30071,2026-04-06T17:00,2026-04-07T01:49,U0063,Security Operations,Security,Conditional Access,P3,Portal,8.82,24,Yes,No,5,No
INC-30072,2026-04-17T23:00,2026-04-18T07:32,U0117,Security Operations,Identity and Access,Account Lockout,P4,Monitoring,8.55,72,Yes,No,4,Yes
INC-30073,2026-01-13T09:00,2026-01-13T17:54,U0122,Infrastructure,Cloud,EC2,P4,Phone,8.91,72,Yes,No,5,Yes
INC-30074,2026-06-15T19:00,2026-06-15T22:33,U0071,Cloud Operations,Microsoft 365,Outlook,P2,Portal,3.56,8,Yes,No,5,No
INC-30075,2026-06-02T18:00,2026-06-02T20:55,U0125,Infrastructure,Server,Disk Capacity,P4,Phone,2.93,72,Yes,No,4,Yes
INC-30076,2026-02-22T22:00,2026-02-23T04:48,U0170,Security Operations,Security,Conditional Access,P4,Email,6.81,72,Yes,No,5,No
INC-30077,2026-01-19T21:00,2026-01-20T01:30,U0103,Security Operations,Cloud,IAM,P4,Monitoring,4.51,72,Yes,No,5,Yes
INC-30078,2026-05-14T11:00,2026-05-14T19:45,U0074,Security Operations,Security,Malware Alert,P3,Phone,8.75,24,Yes,No,5,No
INC-30079,2026-02-03T13:00,2026-02-03T15:47,U0220,Cloud Operations,Server,Patch Failure,P4,Phone,2.8,72,Yes,No,3,Yes
INC-30080,2026-07-19T17:00,2026-07-20T03:59,U0173,Infrastructure,Printing,Driver,P3,Phone,11.0,24,Yes,No,4,Yes
INC-30081,2026-01-04T22:00,2026-01-05T01:15,U0057,Cloud Operations,Identity and Access,Account Lockout,P4,Email,3.25,72,Yes,Yes,5,Yes
INC-30082,2026-03-16T08:00,2026-03-16T10:02,U0231,Infrastructure,Microsoft 365,Outlook,P4,Email,2.04,72,Yes,No,5,Yes
INC-30083,2026-01-27T04:00,2026-01-27T08:56,U0232,Cloud Operations,Security,Malware Alert,P4,Email,4.94,72,Yes,No,4,No
INC-30084,2026-05-11T23:00,2026-05-12T03:45,U0126,Infrastructure,Printing,Driver,P3,Monitoring,4.75,24,Yes,No,5,Yes
INC-30085,2026-07-04T20:00,2026-07-07T15:22,U0184,Cloud Operations,Printing,Printer Offline,P3,Portal,67.38,24,No,No,5,No
