review_id,account,role,system,decision,reviewer
REV-0001,Account 1,Role 1,System 1,Remove,Reviewer 1
REV-0002,Account 2,Role 2,System 2,Reduce,Reviewer 2
REV-0003,Account 3,Role 3,System 3,Remove,Reviewer 3
REV-0004,Account 4,Role 4,System 4,Remove,Reviewer 4
REV-0005,Account 5,Role 5,System 5,Reduce,Reviewer 5
REV-0006,Account 6,Role 6,System 6,Reduce,Reviewer 6
REV-0007,Account 7,Role 7,System 7,Reduce,Reviewer 7
REV-0008,Account 8,Role 8,System 8,Retain,Reviewer 8
REV-0009,Account 9,Role 9,System 9,Remove,Reviewer 9
REV-0010,Account 10,Role 10,System 10,Retain,Reviewer 10
REV-0011,Account 11,Role 11,System 11,Retain,Reviewer 11
REV-0012,Account 12,Role 12,System 12,Retain,Reviewer 12
REV-0013,Account 13,Role 13,System 13,Remove,Reviewer 13
REV-0014,Account 14,Role 14,System 14,Reduce,Reviewer 14
REV-0015,Account 15,Role 15,System 15,Retain,Reviewer 15
REV-0016,Account 16,Role 16,System 16,Retain,Reviewer 16
REV-0017,Account 17,Role 17,System 17,Reduce,Reviewer 17
REV-0018,Account 18,Role 18,System 18,Remove,Reviewer 18
REV-0019,Account 19,Role 19,System 19,Retain,Reviewer 19
REV-0020,Account 20,Role 20,System 20,Remove,Reviewer 20
REV-0021,Account 21,Role 21,System 21,Reduce,Reviewer 21
REV-0022,Account 22,Role 22,System 22,Reduce,Reviewer 22
REV-0023,Account 23,Role 23,System 23,Reduce,Reviewer 23
REV-0024,Account 24,Role 24,System 24,Retain,Reviewer 24
REV-0025,Account 25,Role 25,System 25,Retain,Reviewer 25
REV-0026,Account 26,Role 26,System 26,Retain,Reviewer 26
REV-0027,Account 27,Role 27,System 27,Retain,Reviewer 27
REV-0028,Account 28,Role 28,System 28,Remove,Reviewer 28
REV-0029,Account 29,Role 29,System 29,Reduce,Reviewer 29
REV-0030,Account 30,Role 30,System 30,Reduce,Reviewer 30
REV-0031,Account 31,Role 31,System 31,Retain,Reviewer 31
REV-0032,Account 32,Role 32,System 32,Retain,Reviewer 32
REV-0033,Account 33,Role 33,System 33,Reduce,Reviewer 33
REV-0034,Account 34,Role 34,System 34,Remove,Reviewer 34
REV-0035,Account 35,Role 35,System 35,Remove,Reviewer 35
