change_id,type,risk,status,planned_date,outcome
CHA-0001,Type 1,High,Approved,2026-05-24,Outcome 1
CHA-0002,Type 2,High,Compliant,2026-05-08,Outcome 2
CHA-0003,Type 3,Low,Approved,2026-02-26,Outcome 3
CHA-0004,Type 4,High,Open,2026-06-01,Outcome 4
CHA-0005,Type 5,High,Approved,2026-05-11,Outcome 5
CHA-0006,Type 6,Medium,Open,2026-03-21,Outcome 6
CHA-0007,Type 7,Medium,Compliant,2026-06-08,Outcome 7
CHA-0008,Type 8,Low,Approved,2026-07-13,Outcome 8
CHA-0009,Type 9,Medium,Closed,2026-05-16,Outcome 9
CHA-0010,Type 10,High,Closed,2026-03-12,Outcome 10
CHA-0011,Type 11,Low,Open,2026-04-10,Outcome 11
CHA-0012,Type 12,Low,Compliant,2026-06-20,Outcome 12
CHA-0013,Type 13,Low,Closed,2026-07-17,Outcome 13
CHA-0014,Type 14,Low,Compliant,2026-04-06,Outcome 14
CHA-0015,Type 15,Medium,Open,2026-07-06,Outcome 15
CHA-0016,Type 16,High,Compliant,2026-07-21,Outcome 16
CHA-0017,Type 17,Medium,Compliant,2026-01-11,Outcome 17
CHA-0018,Type 18,Low,Approved,2026-02-17,Outcome 18
CHA-0019,Type 19,Low,Compliant,2026-07-09,Outcome 19
CHA-0020,Type 20,Medium,Open,2026-07-23,Outcome 20
CHA-0021,Type 21,High,Compliant,2026-01-02,Outcome 21
CHA-0022,Type 22,Low,Compliant,2026-03-21,Outcome 22
CHA-0023,Type 23,Low,Approved,2026-05-28,Outcome 23
CHA-0024,Type 24,High,Approved,2026-04-27,Outcome 24
CHA-0025,Type 25,Medium,Open,2026-03-04,Outcome 25
CHA-0026,Type 26,Low,Closed,2026-06-18,Outcome 26
CHA-0027,Type 27,High,Open,2026-02-16,Outcome 27
CHA-0028,Type 28,Low,Open,2026-03-05,Outcome 28
CHA-0029,Type 29,Medium,Compliant,2026-02-14,Outcome 29
CHA-0030,Type 30,Low,Open,2026-03-21,Outcome 30
CHA-0031,Type 31,Medium,Approved,2026-04-04,Outcome 31
CHA-0032,Type 32,High,Closed,2026-05-11,Outcome 32
CHA-0033,Type 33,Low,Open,2026-05-14,Outcome 33
CHA-0034,Type 34,High,Open,2026-04-16,Outcome 34
CHA-0035,Type 35,Medium,Approved,2026-06-25,Outcome 35
CHA-0036,Type 36,High,Open,2026-05-06,Outcome 36
CHA-0037,Type 37,Low,Approved,2026-05-17,Outcome 37
CHA-0038,Type 38,Medium,Approved,2026-07-11,Outcome 38
CHA-0039,Type 39,Medium,Open,2026-07-23,Outcome 39
CHA-0040,Type 40,Low,Approved,2026-05-24,Outcome 40
CHA-0041,Type 41,Medium,Closed,2026-07-16,Outcome 41
CHA-0042,Type 42,Low,Compliant,2026-03-07,Outcome 42
CHA-0043,Type 43,Low,Compliant,2026-07-18,Outcome 43
CHA-0044,Type 44,High,Open,2026-07-04,Outcome 44
CHA-0045,Type 45,Medium,Approved,2026-07-24,Outcome 45
CHA-0046,Type 46,Low,Closed,2026-03-07,Outcome 46
CHA-0047,Type 47,High,Open,2026-05-16,Outcome 47
CHA-0048,Type 48,Low,Compliant,2026-04-21,Outcome 48
CHA-0049,Type 49,High,Approved,2026-05-08,Outcome 49
CHA-0050,Type 50,High,Closed,2026-02-13,Outcome 50
CHA-0051,Type 51,Medium,Compliant,2026-04-01,Outcome 51
CHA-0052,Type 52,Medium,Open,2026-02-23,Outcome 52
CHA-0053,Type 53,Low,Open,2026-05-04,Outcome 53
CHA-0054,Type 54,Medium,Closed,2026-05-27,Outcome 54
CHA-0055,Type 55,High,Compliant,2026-01-06,Outcome 55
CHA-0056,Type 56,High,Closed,2026-04-05,Outcome 56
CHA-0057,Type 57,Medium,Approved,2026-07-06,Outcome 57
CHA-0058,Type 58,Low,Approved,2026-01-21,Outcome 58
CHA-0059,Type 59,Low,Closed,2026-01-20,Outcome 59
CHA-0060,Type 60,Low,Approved,2026-04-15,Outcome 60
CHA-0061,Type 61,Low,Open,2026-03-25,Outcome 61
CHA-0062,Type 62,Medium,Open,2026-01-02,Outcome 62
CHA-0063,Type 63,High,Compliant,2026-06-19,Outcome 63
CHA-0064,Type 64,High,Approved,2026-01-19,Outcome 64
CHA-0065,Type 65,Low,Closed,2026-03-12,Outcome 65
CHA-0066,Type 66,Low,Open,2026-01-20,Outcome 66
CHA-0067,Type 67,Medium,Approved,2026-01-21,Outcome 67
CHA-0068,Type 68,Low,Closed,2026-07-09,Outcome 68
CHA-0069,Type 69,High,Compliant,2026-01-19,Outcome 69
CHA-0070,Type 70,High,Compliant,2026-02-24,Outcome 70
CHA-0071,Type 71,Medium,Approved,2026-07-19,Outcome 71
CHA-0072,Type 72,Medium,Closed,2026-02-06,Outcome 72
CHA-0073,Type 73,Medium,Open,2026-04-27,Outcome 73
CHA-0074,Type 74,Medium,Closed,2026-02-10,Outcome 74
CHA-0075,Type 75,Low,Approved,2026-07-23,Outcome 75
CHA-0076,Type 76,High,Closed,2026-02-14,Outcome 76
CHA-0077,Type 77,Low,Open,2026-05-27,Outcome 77
CHA-0078,Type 78,High,Open,2026-01-07,Outcome 78
CHA-0079,Type 79,Medium,Compliant,2026-05-14,Outcome 79
CHA-0080,Type 80,Low,Compliant,2026-02-02,Outcome 80
CHA-0081,Type 81,Medium,Open,2026-02-18,Outcome 81
CHA-0082,Type 82,Medium,Compliant,2026-06-21,Outcome 82
CHA-0083,Type 83,Low,Open,2026-02-25,Outcome 83
CHA-0084,Type 84,Low,Open,2026-05-11,Outcome 84
CHA-0085,Type 85,Low,Compliant,2026-07-14,Outcome 85
CHA-0086,Type 86,High,Closed,2026-01-19,Outcome 86
CHA-0087,Type 87,Medium,Closed,2026-04-18,Outcome 87
CHA-0088,Type 88,High,Open,2026-01-11,Outcome 88
CHA-0089,Type 89,Medium,Compliant,2026-05-11,Outcome 89
CHA-0090,Type 90,Low,Open,2026-01-16,Outcome 90
CHA-0091,Type 91,Low,Closed,2026-03-26,Outcome 91
CHA-0092,Type 92,High,Open,2026-01-26,Outcome 92
CHA-0093,Type 93,Medium,Closed,2026-05-15,Outcome 93
CHA-0094,Type 94,Low,Closed,2026-07-25,Outcome 94
CHA-0095,Type 95,Low,Compliant,2026-02-06,Outcome 95
CHA-0096,Type 96,Low,Open,2026-02-18,Outcome 96
CHA-0097,Type 97,Medium,Open,2026-06-17,Outcome 97
CHA-0098,Type 98,Medium,Open,2026-06-13,Outcome 98
CHA-0099,Type 99,Medium,Closed,2026-02-04,Outcome 99
CHA-0100,Type 100,Low,Approved,2026-03-28,Outcome 100
CHA-0101,Type 101,High,Approved,2026-06-14,Outcome 101
CHA-0102,Type 102,Low,Compliant,2026-01-19,Outcome 102
CHA-0103,Type 103,Low,Open,2026-04-27,Outcome 103
CHA-0104,Type 104,Low,Compliant,2026-03-10,Outcome 104
CHA-0105,Type 105,Low,Compliant,2026-01-05,Outcome 105
CHA-0106,Type 106,Low,Approved,2026-03-28,Outcome 106
CHA-0107,Type 107,Low,Closed,2026-03-05,Outcome 107
CHA-0108,Type 108,Low,Compliant,2026-01-05,Outcome 108
CHA-0109,Type 109,Medium,Closed,2026-02-19,Outcome 109
CHA-0110,Type 110,Medium,Open,2026-02-24,Outcome 110
CHA-0111,Type 111,High,Open,2026-05-09,Outcome 111
CHA-0112,Type 112,Medium,Compliant,2026-07-27,Outcome 112
CHA-0113,Type 113,Medium,Closed,2026-04-20,Outcome 113
CHA-0114,Type 114,Low,Closed,2026-06-06,Outcome 114
CHA-0115,Type 115,Medium,Approved,2026-03-04,Outcome 115
CHA-0116,Type 116,Low,Closed,2026-04-14,Outcome 116
CHA-0117,Type 117,Low,Compliant,2026-05-27,Outcome 117
CHA-0118,Type 118,Medium,Open,2026-06-05,Outcome 118
CHA-0119,Type 119,Medium,Approved,2026-07-23,Outcome 119
CHA-0120,Type 120,Medium,Approved,2026-01-13,Outcome 120
