certificate_id,subject,template,issuer,expires_on,days_remaining,renewal_status
CERT-0001,CN=service001.lab.local,Web Server,LAB-Issuing-CA,2028-03-26,614,Valid
CERT-0002,CN=service002.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-03-19,241,Valid
CERT-0003,CN=service003.lab.local,Web Server,LAB-Issuing-CA,2028-04-16,635,Valid
CERT-0004,CN=service004.lab.local,User,LAB-Issuing-CA,2028-06-10,690,Valid
CERT-0005,CN=service005.lab.local,Web Server,LAB-Issuing-CA,2028-03-29,617,Valid
CERT-0006,CN=service006.lab.local,Web Server,LAB-Issuing-CA,2027-06-27,341,Valid
CERT-0007,CN=service007.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-11-03,470,Valid
CERT-0008,CN=service008.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-12-17,514,Valid
CERT-0009,CN=service009.lab.local,User,LAB-Issuing-CA,2028-02-18,577,Valid
CERT-0010,CN=service010.lab.local,User,LAB-Issuing-CA,2027-09-15,421,Valid
CERT-0011,CN=service011.lab.local,User,LAB-Issuing-CA,2027-05-08,291,Valid
CERT-0012,CN=service012.lab.local,Web Server,LAB-Issuing-CA,2026-12-29,161,Valid
CERT-0013,CN=service013.lab.local,User,LAB-Issuing-CA,2028-03-13,601,Valid
CERT-0014,CN=service014.lab.local,User,LAB-Issuing-CA,2028-02-08,567,Valid
CERT-0015,CN=service015.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2026-09-11,52,Valid
CERT-0016,CN=service016.lab.local,Computer,LAB-Issuing-CA,2028-02-23,582,Valid
CERT-0017,CN=service017.lab.local,Web Server,LAB-Issuing-CA,2028-02-17,576,Valid
CERT-0018,CN=service018.lab.local,User,LAB-Issuing-CA,2028-05-13,662,Valid
CERT-0019,CN=service019.lab.local,Web Server,LAB-Issuing-CA,2028-04-10,629,Valid
CERT-0020,CN=service020.lab.local,Domain Controller Authentication,LAB-Issuing-CA,2027-04-30,283,Valid
CERT-0021,CN=service021.lab.local,Computer,LAB-Issuing-CA,2026-10-03,74,Valid
CERT-0022,CN=service022.lab.local,Web Server,LAB-Issuing-CA,2027-12-10,507,Valid
CERT-0023,CN=service023.lab.local,User,LAB-Issuing-CA,2027-04-21,274,Valid
CERT-0024,CN=service024.lab.local,User,LAB-Issuing-CA,2026-11-23,125,Valid
CERT-0025,CN=service025.lab.local,User,LAB-Issuing-CA,2027-04-18,271,Valid
CERT-0026,CN=service026.lab.local,Web Server,LAB-Issuing-CA,2026-07-25,4,Renew Soon
CERT-0027,CN=service027.lab.local,Computer,LAB-Issuing-CA,2028-03-20,608,Valid
