group,type,scope,members,owner,review_status
Group 1,Type 1,Scope 1,127,Owner 1,Compliant
Group 2,Type 2,Scope 2,283,Owner 2,Approved
Group 3,Type 3,Scope 3,495,Owner 3,Open
Group 4,Type 4,Scope 4,1,Owner 4,Open
Group 5,Type 5,Scope 5,98,Owner 5,Closed
Group 6,Type 6,Scope 6,340,Owner 6,Closed
Group 7,Type 7,Scope 7,103,Owner 7,Closed
Group 8,Type 8,Scope 8,368,Owner 8,Closed
Group 9,Type 9,Scope 9,51,Owner 9,Closed
Group 10,Type 10,Scope 10,179,Owner 10,Closed
Group 11,Type 11,Scope 11,237,Owner 11,Open
Group 12,Type 12,Scope 12,271,Owner 12,Compliant
Group 13,Type 13,Scope 13,167,Owner 13,Open
Group 14,Type 14,Scope 14,208,Owner 14,Compliant
Group 15,Type 15,Scope 15,253,Owner 15,Compliant
Group 16,Type 16,Scope 16,49,Owner 16,Open
Group 17,Type 17,Scope 17,217,Owner 17,Approved
Group 18,Type 18,Scope 18,423,Owner 18,Closed
Group 19,Type 19,Scope 19,4,Owner 19,Open
Group 20,Type 20,Scope 20,439,Owner 20,Approved
Group 21,Type 21,Scope 21,127,Owner 21,Open
Group 22,Type 22,Scope 22,319,Owner 22,Closed
Group 23,Type 23,Scope 23,240,Owner 23,Compliant
Group 24,Type 24,Scope 24,490,Owner 24,Compliant
Group 25,Type 25,Scope 25,60,Owner 25,Compliant
Group 26,Type 26,Scope 26,471,Owner 26,Open
Group 27,Type 27,Scope 27,181,Owner 27,Compliant
Group 28,Type 28,Scope 28,297,Owner 28,Closed
Group 29,Type 29,Scope 29,278,Owner 29,Approved
Group 30,Type 30,Scope 30,180,Owner 30,Compliant
Group 31,Type 31,Scope 31,92,Owner 31,Open
Group 32,Type 32,Scope 32,367,Owner 32,Closed
Group 33,Type 33,Scope 33,360,Owner 33,Compliant
Group 34,Type 34,Scope 34,193,Owner 34,Approved
Group 35,Type 35,Scope 35,357,Owner 35,Compliant
Group 36,Type 36,Scope 36,274,Owner 36,Compliant
Group 37,Type 37,Scope 37,392,Owner 37,Closed
Group 38,Type 38,Scope 38,314,Owner 38,Approved
Group 39,Type 39,Scope 39,295,Owner 39,Open
Group 40,Type 40,Scope 40,71,Owner 40,Approved
Group 41,Type 41,Scope 41,230,Owner 41,Closed
Group 42,Type 42,Scope 42,158,Owner 42,Closed
Group 43,Type 43,Scope 43,176,Owner 43,Approved
Group 44,Type 44,Scope 44,115,Owner 44,Approved
Group 45,Type 45,Scope 45,344,Owner 45,Compliant
Group 46,Type 46,Scope 46,322,Owner 46,Open
Group 47,Type 47,Scope 47,392,Owner 47,Compliant
Group 48,Type 48,Scope 48,378,Owner 48,Approved
Group 49,Type 49,Scope 49,454,Owner 49,Closed
Group 50,Type 50,Scope 50,297,Owner 50,Open
Group 51,Type 51,Scope 51,228,Owner 51,Approved
Group 52,Type 52,Scope 52,322,Owner 52,Compliant
Group 53,Type 53,Scope 53,74,Owner 53,Compliant
Group 54,Type 54,Scope 54,217,Owner 54,Approved
Group 55,Type 55,Scope 55,33,Owner 55,Compliant
Group 56,Type 56,Scope 56,294,Owner 56,Compliant
Group 57,Type 57,Scope 57,249,Owner 57,Open
Group 58,Type 58,Scope 58,288,Owner 58,Open
Group 59,Type 59,Scope 59,284,Owner 59,Compliant
Group 60,Type 60,Scope 60,158,Owner 60,Compliant
Group 61,Type 61,Scope 61,131,Owner 61,Approved
Group 62,Type 62,Scope 62,352,Owner 62,Approved
Group 63,Type 63,Scope 63,208,Owner 63,Approved
Group 64,Type 64,Scope 64,39,Owner 64,Closed
Group 65,Type 65,Scope 65,411,Owner 65,Approved
Group 66,Type 66,Scope 66,58,Owner 66,Compliant
Group 67,Type 67,Scope 67,237,Owner 67,Closed
Group 68,Type 68,Scope 68,148,Owner 68,Compliant
Group 69,Type 69,Scope 69,266,Owner 69,Approved
Group 70,Type 70,Scope 70,106,Owner 70,Compliant
Group 71,Type 71,Scope 71,376,Owner 71,Open
Group 72,Type 72,Scope 72,195,Owner 72,Approved
Group 73,Type 73,Scope 73,398,Owner 73,Open
Group 74,Type 74,Scope 74,136,Owner 74,Approved
Group 75,Type 75,Scope 75,162,Owner 75,Open
Group 76,Type 76,Scope 76,406,Owner 76,Closed
Group 77,Type 77,Scope 77,340,Owner 77,Compliant
Group 78,Type 78,Scope 78,449,Owner 78,Open
Group 79,Type 79,Scope 79,168,Owner 79,Closed
Group 80,Type 80,Scope 80,61,Owner 80,Open
Group 81,Type 81,Scope 81,84,Owner 81,Compliant
Group 82,Type 82,Scope 82,72,Owner 82,Compliant
Group 83,Type 83,Scope 83,21,Owner 83,Compliant
Group 84,Type 84,Scope 84,205,Owner 84,Approved
Group 85,Type 85,Scope 85,284,Owner 85,Open
Group 86,Type 86,Scope 86,10,Owner 86,Closed
Group 87,Type 87,Scope 87,139,Owner 87,Approved
Group 88,Type 88,Scope 88,184,Owner 88,Open
Group 89,Type 89,Scope 89,395,Owner 89,Closed
Group 90,Type 90,Scope 90,1,Owner 90,Closed
Group 91,Type 91,Scope 91,448,Owner 91,Open
Group 92,Type 92,Scope 92,169,Owner 92,Compliant
Group 93,Type 93,Scope 93,157,Owner 93,Closed
Group 94,Type 94,Scope 94,317,Owner 94,Compliant
Group 95,Type 95,Scope 95,135,Owner 95,Open
Group 96,Type 96,Scope 96,284,Owner 96,Approved
Group 97,Type 97,Scope 97,213,Owner 97,Closed
Group 98,Type 98,Scope 98,8,Owner 98,Closed
Group 99,Type 99,Scope 99,474,Owner 99,Compliant
Group 100,Type 100,Scope 100,404,Owner 100,Approved
Group 101,Type 101,Scope 101,469,Owner 101,Open
Group 102,Type 102,Scope 102,25,Owner 102,Open
Group 103,Type 103,Scope 103,109,Owner 103,Open
Group 104,Type 104,Scope 104,348,Owner 104,Approved
Group 105,Type 105,Scope 105,369,Owner 105,Compliant
Group 106,Type 106,Scope 106,390,Owner 106,Compliant
Group 107,Type 107,Scope 107,53,Owner 107,Approved
Group 108,Type 108,Scope 108,331,Owner 108,Closed
Group 109,Type 109,Scope 109,9,Owner 109,Approved
Group 110,Type 110,Scope 110,199,Owner 110,Approved
Group 111,Type 111,Scope 111,50,Owner 111,Approved
Group 112,Type 112,Scope 112,393,Owner 112,Closed
Group 113,Type 113,Scope 113,423,Owner 113,Compliant
Group 114,Type 114,Scope 114,278,Owner 114,Approved
Group 115,Type 115,Scope 115,222,Owner 115,Compliant
Group 116,Type 116,Scope 116,292,Owner 116,Open
Group 117,Type 117,Scope 117,258,Owner 117,Compliant
Group 118,Type 118,Scope 118,468,Owner 118,Open
Group 119,Type 119,Scope 119,335,Owner 119,Open
Group 120,Type 120,Scope 120,272,Owner 120,Compliant
