incident_id,severity,service,duration_min,root_cause,preventive_action
INC-0001,Critical,Service 1,68,Root Cause 1,Preventive Action 1
INC-0002,Critical,Service 2,55,Root Cause 2,Preventive Action 2
INC-0003,Critical,Service 3,164,Root Cause 3,Preventive Action 3
INC-0004,Critical,Service 4,88,Root Cause 4,Preventive Action 4
INC-0005,Low,Service 5,277,Root Cause 5,Preventive Action 5
INC-0006,Low,Service 6,388,Root Cause 6,Preventive Action 6
INC-0007,Medium,Service 7,376,Root Cause 7,Preventive Action 7
INC-0008,Low,Service 8,131,Root Cause 8,Preventive Action 8
INC-0009,Low,Service 9,285,Root Cause 9,Preventive Action 9
INC-0010,Low,Service 10,406,Root Cause 10,Preventive Action 10
INC-0011,Low,Service 11,65,Root Cause 11,Preventive Action 11
INC-0012,High,Service 12,238,Root Cause 12,Preventive Action 12
INC-0013,Low,Service 13,31,Root Cause 13,Preventive Action 13
INC-0014,Critical,Service 14,257,Root Cause 14,Preventive Action 14
INC-0015,Medium,Service 15,160,Root Cause 15,Preventive Action 15
INC-0016,Low,Service 16,133,Root Cause 16,Preventive Action 16
INC-0017,Critical,Service 17,262,Root Cause 17,Preventive Action 17
INC-0018,High,Service 18,225,Root Cause 18,Preventive Action 18
INC-0019,Critical,Service 19,290,Root Cause 19,Preventive Action 19
INC-0020,Critical,Service 20,293,Root Cause 20,Preventive Action 20
INC-0021,Critical,Service 21,252,Root Cause 21,Preventive Action 21
INC-0022,Medium,Service 22,318,Root Cause 22,Preventive Action 22
INC-0023,High,Service 23,44,Root Cause 23,Preventive Action 23
INC-0024,Low,Service 24,154,Root Cause 24,Preventive Action 24
INC-0025,Critical,Service 25,26,Root Cause 25,Preventive Action 25
INC-0026,Low,Service 26,293,Root Cause 26,Preventive Action 26
INC-0027,High,Service 27,202,Root Cause 27,Preventive Action 27
INC-0028,High,Service 28,427,Root Cause 28,Preventive Action 28
INC-0029,High,Service 29,403,Root Cause 29,Preventive Action 29
INC-0030,Medium,Service 30,118,Root Cause 30,Preventive Action 30
INC-0031,Medium,Service 31,277,Root Cause 31,Preventive Action 31
INC-0032,Medium,Service 32,262,Root Cause 32,Preventive Action 32
INC-0033,Low,Service 33,139,Root Cause 33,Preventive Action 33
INC-0034,Low,Service 34,484,Root Cause 34,Preventive Action 34
INC-0035,Critical,Service 35,259,Root Cause 35,Preventive Action 35
INC-0036,High,Service 36,61,Root Cause 36,Preventive Action 36
INC-0037,High,Service 37,294,Root Cause 37,Preventive Action 37
INC-0038,Low,Service 38,164,Root Cause 38,Preventive Action 38
INC-0039,Medium,Service 39,222,Root Cause 39,Preventive Action 39
INC-0040,High,Service 40,76,Root Cause 40,Preventive Action 40
