sku,assigned,available,monthly_cost,utilization_pct
Sku 1,478,377,8.84,64.01
Sku 2,269,327,57.41,39.99
Sku 3,494,381,92.8,84.07
Sku 4,208,298,22.05,33.35
Sku 5,454,64,55.27,20.09
Sku 6,166,366,60.51,26.86
Sku 7,344,287,46.08,54.6
Sku 8,4,192,68.29,5.82
Sku 9,96,497,24.8,74.12
Sku 10,245,434,47.46,72.64
Sku 11,278,136,24.95,1.59
Sku 12,329,52,56.24,17.07
Sku 13,309,185,43.38,24.71
Sku 14,98,436,81.1,68.64
Sku 15,310,358,47.95,78.04
Sku 16,69,108,56.42,85.34
Sku 17,149,133,4.91,86.12
Sku 18,472,69,32.57,75.78
Sku 19,418,203,92.61,88.79
Sku 20,236,193,61.5,59.19
Sku 21,96,133,17.2,47.39
Sku 22,122,319,92.44,16.63
Sku 23,370,274,86.01,64.87
Sku 24,24,70,24.35,18.87
Sku 25,295,49,25.63,98.17
