user_id,display_name,department,title,manager,account_status,mfa,license,last_sign_in
U0001,Employee 001,IT,Coordinator,Manager 01,Enabled,Enabled,E3,2026-07-04
U0002,Employee 002,Legal,Coordinator,Manager 01,Enabled,Enabled,E5,2026-07-11
U0003,Employee 003,Finance,Specialist,Manager 01,Enabled,Enabled,E5,2026-07-06
U0004,Employee 004,Sales,Analyst,Manager 01,Enabled,Enabled,F3,2026-07-09
U0005,Employee 005,Operations,Manager,Manager 01,Enabled,Enabled,F3,2026-07-04
U0006,Employee 006,Legal,Specialist,Manager 01,Enabled,Enabled,F3,2026-07-17
U0007,Employee 007,Operations,Manager,Manager 01,Enabled,Enabled,E3,2026-07-12
U0008,Employee 008,HR,Coordinator,Manager 01,Enabled,Enabled,F3,2026-07-01
U0009,Employee 009,Operations,Specialist,Manager 02,Enabled,Enabled,E5,2026-07-01
U0010,Employee 010,Finance,Specialist,Manager 02,Enabled,Enabled,E5,2026-07-08
U0011,Employee 011,Finance,Manager,Manager 02,Enabled,Enabled,F3,2026-07-03
U0012,Employee 012,Finance,Engineer,Manager 02,Enabled,Enabled,E3,2026-07-18
U0013,Employee 013,HR,Manager,Manager 02,Enabled,Enabled,F3,2026-07-16
U0014,Employee 014,Operations,Manager,Manager 02,Enabled,Enabled,E5,2026-07-17
U0015,Employee 015,Operations,Engineer,Manager 02,Enabled,Enabled,E3,2026-07-18
U0016,Employee 016,Legal,Manager,Manager 02,Enabled,Enabled,F3,2026-07-10
U0017,Employee 017,Sales,Specialist,Manager 03,Enabled,Enabled,E5,2026-07-17
U0018,Employee 018,Sales,Analyst,Manager 03,Enabled,Enabled,E3,2026-07-08
U0019,Employee 019,Finance,Specialist,Manager 03,Enabled,Enabled,E3,2026-07-19
U0020,Employee 020,Operations,Manager,Manager 03,Enabled,Enabled,F3,2026-07-08
U0021,Employee 021,Finance,Analyst,Manager 03,Enabled,Enabled,F3,2026-07-02
U0022,Employee 022,HR,Analyst,Manager 03,Enabled,Enabled,E3,2026-07-11
U0023,Employee 023,Finance,Coordinator,Manager 03,Enabled,Enabled,E3,2026-07-09
U0024,Employee 024,Legal,Engineer,Manager 03,Enabled,Enabled,E3,2026-07-18
U0025,Employee 025,HR,Coordinator,Manager 04,Enabled,Enabled,F3,2026-07-16
U0026,Employee 026,HR,Engineer,Manager 04,Enabled,Enabled,E5,2026-07-07
U0027,Employee 027,Finance,Analyst,Manager 04,Enabled,Enabled,F3,2026-07-14
U0028,Employee 028,IT,Engineer,Manager 04,Enabled,Enabled,E5,2026-07-15
U0029,Employee 029,Legal,Analyst,Manager 04,Enabled,Enabled,F3,2026-07-04
U0030,Employee 030,Finance,Engineer,Manager 04,Enabled,Enabled,F3,2026-07-11
U0031,Employee 031,Finance,Manager,Manager 04,Enabled,Enabled,E3,2026-07-07
U0032,Employee 032,Operations,Engineer,Manager 04,Enabled,Enabled,E3,2026-07-14
U0033,Employee 033,HR,Specialist,Manager 05,Enabled,Enabled,E5,2026-07-08
U0034,Employee 034,Finance,Engineer,Manager 05,Enabled,Enabled,F3,2026-07-04
U0035,Employee 035,Finance,Coordinator,Manager 05,Enabled,Enabled,E3,2026-07-03
U0036,Employee 036,HR,Manager,Manager 05,Enabled,Enabled,E5,2026-07-16
U0037,Employee 037,Sales,Manager,Manager 05,Enabled,Enabled,E5,2026-07-02
U0038,Employee 038,HR,Engineer,Manager 05,Enabled,Enabled,E3,2026-07-13
U0039,Employee 039,IT,Engineer,Manager 05,Enabled,Enabled,E5,2026-07-14
U0040,Employee 040,Legal,Coordinator,Manager 05,Enabled,Enabled,F3,2026-07-16
U0041,Employee 041,HR,Manager,Manager 06,Enabled,Enabled,E5,2026-07-07
U0042,Employee 042,Finance,Coordinator,Manager 06,Enabled,Enabled,F3,2026-07-18
U0043,Employee 043,Finance,Specialist,Manager 06,Enabled,Enabled,E3,2026-07-02
U0044,Employee 044,Operations,Engineer,Manager 06,Enabled,Enabled,F3,2026-07-17
U0045,Employee 045,HR,Analyst,Manager 06,Enabled,Enabled,F3,2026-07-03
U0046,Employee 046,HR,Analyst,Manager 06,Enabled,Enabled,F3,2026-07-03
U0047,Employee 047,Legal,Manager,Manager 06,Enabled,Enabled,E5,2026-07-04
U0048,Employee 048,Operations,Manager,Manager 06,Enabled,Enabled,F3,2026-07-20
U0049,Employee 049,Finance,Coordinator,Manager 07,Enabled,Enabled,E3,2026-07-14
U0050,Employee 050,Legal,Coordinator,Manager 07,Enabled,Enabled,F3,2026-07-17
U0051,Employee 051,IT,Specialist,Manager 07,Enabled,Enabled,E3,2026-07-11
U0052,Employee 052,HR,Specialist,Manager 07,Enabled,Enabled,E5,2026-07-05
U0053,Employee 053,Legal,Specialist,Manager 07,Enabled,Enabled,E5,2026-07-11
U0054,Employee 054,Finance,Analyst,Manager 07,Enabled,Enabled,E5,2026-07-20
U0055,Employee 055,Operations,Analyst,Manager 07,Enabled,Enabled,E3,2026-07-18
U0056,Employee 056,HR,Coordinator,Manager 07,Enabled,Enabled,E5,2026-07-05
U0057,Employee 057,IT,Analyst,Manager 08,Enabled,Enabled,E3,2026-07-12
U0058,Employee 058,IT,Manager,Manager 08,Enabled,Enabled,E5,2026-07-18
U0059,Employee 059,Legal,Specialist,Manager 08,Enabled,Enabled,F3,2026-07-17
U0060,Employee 060,Finance,Coordinator,Manager 08,Enabled,Enabled,E5,2026-07-04
U0061,Employee 061,HR,Specialist,Manager 08,Enabled,Enabled,E3,2026-07-04
U0062,Employee 062,Legal,Coordinator,Manager 08,Enabled,Enabled,E3,2026-07-09
U0063,Employee 063,IT,Coordinator,Manager 08,Enabled,Enabled,E3,2026-07-11
U0064,Employee 064,HR,Specialist,Manager 08,Enabled,Enabled,F3,2026-07-16
U0065,Employee 065,IT,Analyst,Manager 09,Enabled,Enabled,E3,2026-07-14
U0066,Employee 066,IT,Analyst,Manager 09,Enabled,Enabled,E3,2026-07-11
U0067,Employee 067,HR,Specialist,Manager 09,Enabled,Enabled,E3,2026-07-15
U0068,Employee 068,Operations,Engineer,Manager 09,Enabled,Enabled,F3,2026-07-01
U0069,Employee 069,Finance,Analyst,Manager 09,Enabled,Enabled,F3,2026-07-05
U0070,Employee 070,Operations,Analyst,Manager 09,Enabled,Enabled,E5,2026-07-19
U0071,Employee 071,Operations,Manager,Manager 09,Enabled,Enabled,E5,2026-07-05
U0072,Employee 072,Finance,Specialist,Manager 09,Enabled,Enabled,E5,2026-07-02
U0073,Employee 073,IT,Manager,Manager 10,Enabled,Enabled,F3,2026-07-08
U0074,Employee 074,Legal,Analyst,Manager 10,Enabled,Enabled,E5,2026-07-18
U0075,Employee 075,Sales,Coordinator,Manager 10,Enabled,Enabled,F3,2026-07-05
U0076,Employee 076,HR,Manager,Manager 10,Enabled,Enabled,E3,2026-07-14
U0077,Employee 077,Finance,Manager,Manager 10,Enabled,Enabled,F3,2026-07-11
U0078,Employee 078,Sales,Manager,Manager 10,Enabled,Enabled,E5,2026-07-06
U0079,Employee 079,Legal,Analyst,Manager 10,Enabled,Enabled,E5,2026-07-02
U0080,Employee 080,Sales,Manager,Manager 10,Enabled,Enabled,E3,2026-07-15
U0081,Employee 081,IT,Specialist,Manager 11,Enabled,Enabled,E3,2026-07-08
U0082,Employee 082,Finance,Manager,Manager 11,Enabled,Enabled,E5,2026-07-11
U0083,Employee 083,IT,Analyst,Manager 11,Enabled,Enabled,E5,2026-07-12
U0084,Employee 084,Legal,Coordinator,Manager 11,Enabled,Enabled,E5,2026-07-18
U0085,Employee 085,IT,Analyst,Manager 11,Enabled,Enabled,E3,2026-07-09
U0086,Employee 086,HR,Coordinator,Manager 11,Enabled,Enabled,E5,2026-07-02
U0087,Employee 087,Finance,Coordinator,Manager 11,Enabled,Enabled,E5,2026-07-12
U0088,Employee 088,Legal,Specialist,Manager 11,Enabled,Enabled,E5,2026-07-20
U0089,Employee 089,Operations,Analyst,Manager 12,Enabled,Enabled,E5,2026-07-19
U0090,Employee 090,HR,Specialist,Manager 12,Enabled,Enabled,E3,2026-07-14
U0091,Employee 091,Finance,Coordinator,Manager 12,Enabled,Enabled,F3,2026-07-07
U0092,Employee 092,IT,Engineer,Manager 12,Enabled,Enabled,E3,2026-07-11
U0093,Employee 093,Operations,Specialist,Manager 12,Enabled,Enabled,F3,2026-07-04
U0094,Employee 094,Legal,Specialist,Manager 12,Enabled,Enabled,F3,2026-07-10
U0095,Employee 095,Legal,Engineer,Manager 12,Enabled,Enabled,E5,2026-07-13
U0096,Employee 096,Legal,Specialist,Manager 12,Enabled,Enabled,F3,2026-07-05
U0097,Employee 097,HR,Engineer,Manager 13,Enabled,Enabled,F3,2026-07-13
U0098,Employee 098,Legal,Manager,Manager 13,Enabled,Enabled,F3,2026-07-19
U0099,Employee 099,IT,Engineer,Manager 13,Enabled,Enabled,F3,2026-07-01
U0100,Employee 100,IT,Specialist,Manager 13,Enabled,Enabled,E3,2026-07-14
U0101,Employee 101,Operations,Coordinator,Manager 13,Enabled,Enabled,F3,2026-07-11
U0102,Employee 102,Sales,Engineer,Manager 13,Enabled,Enabled,E5,2026-07-07
U0103,Employee 103,Operations,Engineer,Manager 13,Enabled,Enabled,F3,2026-07-06
U0104,Employee 104,Legal,Analyst,Manager 13,Enabled,Enabled,E5,2026-07-17
U0105,Employee 105,Legal,Coordinator,Manager 14,Enabled,Enabled,E5,2026-07-03
U0106,Employee 106,HR,Specialist,Manager 14,Enabled,Enabled,E3,2026-07-07
U0107,Employee 107,HR,Analyst,Manager 14,Enabled,Enabled,E3,2026-07-08
U0108,Employee 108,Sales,Coordinator,Manager 14,Enabled,Enabled,E3,2026-07-15
U0109,Employee 109,Sales,Coordinator,Manager 14,Enabled,Enabled,E3,2026-07-13
U0110,Employee 110,Sales,Engineer,Manager 14,Enabled,Enabled,E3,2026-07-05
U0111,Employee 111,Legal,Analyst,Manager 14,Enabled,Enabled,E3,2026-07-14
U0112,Employee 112,HR,Manager,Manager 14,Enabled,Enabled,F3,2026-07-17
U0113,Employee 113,Sales,Analyst,Manager 15,Enabled,Enabled,F3,2026-07-08
U0114,Employee 114,Finance,Engineer,Manager 15,Enabled,Enabled,E3,2026-07-15
U0115,Employee 115,Legal,Coordinator,Manager 15,Enabled,Enabled,F3,2026-07-20
U0116,Employee 116,IT,Engineer,Manager 15,Enabled,Enabled,F3,2026-07-17
U0117,Employee 117,Sales,Coordinator,Manager 15,Enabled,Enabled,E5,2026-07-06
U0118,Employee 118,Legal,Engineer,Manager 15,Enabled,Enabled,E5,2026-07-09
U0119,Employee 119,HR,Specialist,Manager 15,Enabled,Enabled,F3,2026-07-16
U0120,Employee 120,Legal,Manager,Manager 15,Enabled,Enabled,E5,2026-07-15
U0121,Employee 121,Finance,Specialist,Manager 16,Enabled,Enabled,E3,2026-07-09
U0122,Employee 122,IT,Specialist,Manager 16,Enabled,Enabled,F3,2026-07-03
U0123,Employee 123,HR,Manager,Manager 16,Enabled,Enabled,E3,2026-07-13
U0124,Employee 124,Legal,Manager,Manager 16,Enabled,Enabled,F3,2026-07-07
U0125,Employee 125,Finance,Engineer,Manager 16,Enabled,Enabled,E5,2026-07-11
U0126,Employee 126,Operations,Engineer,Manager 16,Enabled,Enabled,E5,2026-07-02
U0127,Employee 127,HR,Engineer,Manager 16,Enabled,Enabled,E5,2026-07-19
U0128,Employee 128,Legal,Analyst,Manager 16,Enabled,Enabled,F3,2026-07-13
U0129,Employee 129,Sales,Analyst,Manager 17,Enabled,Enabled,E5,2026-07-10
U0130,Employee 130,Sales,Engineer,Manager 17,Enabled,Enabled,F3,2026-07-18
U0131,Employee 131,Operations,Manager,Manager 17,Enabled,Enabled,E5,2026-07-08
U0132,Employee 132,IT,Engineer,Manager 17,Enabled,Enabled,E5,2026-07-01
U0133,Employee 133,Sales,Specialist,Manager 17,Enabled,Enabled,F3,2026-07-13
U0134,Employee 134,Legal,Manager,Manager 17,Enabled,Enabled,E5,2026-07-05
U0135,Employee 135,Operations,Coordinator,Manager 17,Enabled,Enabled,E3,2026-07-13
